Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
626,"Ramganjmandi-Bhopal New Line Project [262 km]
(West Central Railway [WCR] - II)
(705481)","Multi-States
(Madhya Pradesh,
Rajasthan)",10/2004,"12/2025
12/2027","3032
(5073)",3592.92,70
627,"Nimach-Badi Sadri New Rail Line Project
(Western Railway [WR] - II)
(705764)","Multi-States
(Madhya Pradesh,
Rajasthan)",09/2021,"03/2026
12/2025","495
(825)",306,46
628,"Mathura-Jhansi Third Railway Line [274 Km]
(RVNL - II)
(705667)","Multi-States
(Madhya Pradesh,
Rajasthan, Uttar
Pradesh)",03/2018,"12/2024
12/2026","5961
(5961)",4928.62,94
629,"Jhansi - Bina Third Railway Line [153 Km]
(CAO/C/NCR)
(705598)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)",03/2018,"03/2022
03/2026","2002
(2002)",1884.84,93
630,"Jhansi-Khairar-Manikpur & Khirar-Bhimsen
(North Central Railway)
(705608)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)",03/2017,"03/2026
03/2026","4330
(4330)",1989,53
631,"Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km]
(South Central Railway [SCR] - II)
(705613)","Multi-States
(Maharashtra,
Telangana)",10/2016,"01/2025
11/2025","2595
(3071)",3142.35,92
632,"Narayangarh-Bhadrak 3rd line
(South Eastern Railway [SER] - I)
(705629)","Multi-States
(Odisha, West
Bengal)",03/2017,"12/2025
06/2026","2400
(2400)",2188,65
633,"Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line
(Southern Railway [SR] - II)
(400223)","Multi-States
(Puducherry, Tamil
Nadu)",01/2019,"03/2026
03/2027","713
(981)",598.38,80
634,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)","Multi-States
(Sikkim, West
Bengal)",05/2010,"05/2015
12/2027","7877
(12133)",8883.6,80
635,"Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project
(Eastern Railway [ER] - I)
(602797)","Multi-States (Uttar
Pradesh, West
Bengal)",12/2017,"03/2027
03/2027","461.64
(461.64)",178.45,6
