Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,"763.00
(763.00)",430.00
,,Real Estate,11,"20480.02
(20480.02)",1893.94
,,Total,12,"21,243.02","2,323.94"
2,Department of Higher Education,Education,30,"15165.68
(14973.27)",8632.49
,,Total,30,"15,165.68","8,632.49"
3,Department of Sports,Education,1,"906.47
(611.74)",577.32
,,Total,1,906.47,577.32
4,Department of Telecommunications,Telecommunication,31,"207194.71
(133825.11)",102879.15
,,Total,31,"207,194.71","102,879.15"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
(4039.12)",1658.37
,,Water Resources,30,"96487.38
(197109.95)",140510.51
,,Total,38,"100,526.50","142,168.88"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,"21345.07
(22771.55)",11586.47
,,Total,25,"21,345.07","11,586.47"
7,Ministry of Coal,Coal,113,"182494.77
(180186.43)",51305.23
,,Electricity Generation,6,"36781.81
(36781.81)",6354.71
,,Railways,2,"3485.86
(5002.87)",2577.50
,,Total,121,"222,762.44","60,237.44"
8,Ministry of Health & Family Welfare,Healthcare,35,"21050.26
(25678.42)",10844.00
,,Total,35,"21,050.26","10,844.00"
9,Ministry of Housing & Urban Affairs,Construction,1,"644.00
(644.00)",188.69
,,Real Estate,4,"33749.85
(33816.00)",15090.75
,,Urban Public Transport,30,"320872.37
(339476.05)",178627.24
,,Waste & Water,15,"3750.55
(3849.83)",2930.11
,,Total,50,"359,016.77","196,836.79"
10,Ministry of Labour and Employment,Healthcare,9,"2299.24
(2496.24)",1194.92
,,Total,9,"2,299.24","1,194.92"
11,Ministry of Mines,Construction,1,"255.37
(255.37)",98.94
,,Metals & Mining,5,"7989.36
(12087.17)",7400.84
,,Total,6,"8,244.73","7,499.78"
12,Ministry of Petroleum & Natural Gas,Energy Storage,12,"25151.96
(28440.82)",23048.58
,,Oil & Gas,91,"362394.10
(394917.26)",204670.66
,,Total,103,"387,546.06","227,719.24"
13,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
(5061.15)",4187.19
,,Shipping,4,"7572.50
(7613.11)",5245.77
,,"Tourism, Hospitality & Wellness",1,"573.00
(1238.05)",656.38
,,Total,6,"13,514.68","10,089.34"
14,Ministry of Power,Coal,2,"2083.00
(2365.00)",1063.43
,,Electricity Generation,33,"352432.05
(402653.91)",140445.00
,,Transmission & Distribution,63,"197390.82
(203354.39)",68896.68
,,Total,98,"551,905.87","210,405.11"
15,Ministry of Railways,Railways,190,"465721.36
(638469.92)",459390.96
,,Total,190,"465,721.36","459,390.96"
16,Ministry of Road Transport & Highways,Roads & Highways,993,"945370.67
(961717.26)",460544.81
,,Total,993,"945,370.67","460,544.81"
17,Ministry of Steel,Metals & Mining,1,"1700.00
(1756.20)",292.01
,,Steel,26,"24624.69
(28206.53)",12876.92
,,Total,27,"26,324.69","13,168.93"
Total,,,1775,"3,370,138.22","1,926,099.57"
