Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
30,Rajasthan,Department of Telecommunications,Telecommunication,1,"421.65
228.94",152.96
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"2874
2874",1016.83
,,Ministry of Coal,Electricity Generation,1,"4147.07
4147.07",249.95
,,Ministry of Housing & Urban Affairs,Urban Public Transport,3,"14222.55
14222.5",128.16
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"461.05
461.05",252.18
,,,Oil & Gas,3,"10958
10958",6842.71
,,Ministry of Power,Transmission & Distribution,17,"72773
72773",25423.68
,,Ministry of Railways,Railways,17,"80486.99
157462",151325.18
,,Ministry of Road Transport & Highways,Roads & Highways,22,"16241.58
14357.5",7952.07
,,,Total,74,316591.24,272259.78
31,PAN India,Department of Telecommunications,Telecommunication,5,"110404.69
51081.5",78632.13
,Sikkim,Department of Higher Education,Education,2,"999.82
951.31",575.56
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"323.26
323.26",87.61
,,Ministry of Health & Family Welfare,Healthcare,1,"250
635.21",667.21
,,Ministry of Power,Electricity Generation,2,"6686.33
7576.15",6290.84
,,,Transmission & Distribution,1,"4754.42
9129.32",8141.52
,,Ministry of Railways,Railways,1,"7877
11775",11090.47
,,Ministry of Road Transport & Highways,Roads & Highways,8,"3158.89
3287.17",2016.67
,,,Total,21,134454.41,107502.01
32,PAN India,Department of Telecommunications,Telecommunication,3,"49135.69
38212.5",29822.44
,Tamil Nadu,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1207
1207",331.85
,,Ministry of Health & Family Welfare,Healthcare,1,"1264
2021.51",540.92
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"63246
63246",34698.00
,,Ministry of Mines,Metals & Mining,1,"166
166",135.00
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"1507
2561",1588.83
,,,Oil & Gas,4,"38385
46153",6918.16
,,Ministry of Power,Transmission & Distribution,1,"548
548",208.24
,,Ministry of Railways,Railways,10,"10489.69
16541",8194.52
,,Ministry of Road Transport & Highways,Roads & Highways,41,"54094.87
51067.6",24379.55
,,,Total,65,220043.25,106817.51
33,PAN India,Department of Telecommunications,Telecommunication,4,"110244.69
50921.5",78632.13
,Telangana,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"2360
2360",42.89
,,Department of Higher Education,Education,1,"262
262",223.65
,,Department of Telecommunications,Telecommunication,2,"3462.17
2489.2",869.00
,,"Department of Water Resources, River
Development & GR",Water Resources,3,"10268.14
21620",10303.64
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",399.77
,,Ministry of Coal,Coal,7,"2986.57
2986.57",1806.96
,,Ministry of Health & Family Welfare,Healthcare,1,"1028
1365.95",1028.94
,,Ministry of Housing & Urban Affairs,Construction,1,"644
644",188.69
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"215
215",46.87
,,Ministry of Power,Electricity Generation,1,"29344.85
29344.8",732.96
,,,Transmission & Distribution,1,"1368
1368",1258.56
,,Ministry of Railways,Railways,4,"4811.31
4991.77",1680.40
,,Ministry of Road Transport & Highways,Roads & Highways,47,"35259.83
37868.8",14223.92
,,,Total,75,202755.04,111438.38
