Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Transmission & Distribution,,,,,,
22,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",3.14,3.89
23,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States (Nagaland,
Mizoram, Manipur,
Meghalaya, Tripura,
Assam)","12/2014
(03/2016)","12/2018
(03/2027)","5111.33
(6700)",5577.75,99.2
24,"Comprehensive Scheme for Strengthening of Transmission and Distribution
[T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States (Sikkim,
Arunachal Pradesh)","10/2014
(10/2014)","12/2018
(03/2027)","4754.42
(9129.32)",8141.52,83.9
,Total (3),,,,10075.13,13722.41,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
25,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,"03/2023
(03/2023)","07/2027
(-)","156.36
(156.36)",114.1,83.8
26,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709755)",Assam,"03/2023
(03/2023)","07/2027
(-)","384.04
(384.04)",250.07,87.5
27,"LPG Bottling Plant at Mualkhang
(Indian Oil Corporation Limited [IOCL])
(617829)",Mizoram,"07/2024
(07/2024)","10/2028
(03/2028)","225.71
(225.71)",32.45,34
,Total (3),,,,766.11,396.62,
,Oil & Gas,,,,,,
28,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation
Scheme
(Numaligarh Refinery Limited)
(709865)",Assam,"04/2023
(04/2023)","12/2024
(12/2026)","293.5
(293.5)",81.84,99
29,"DCU Revamp Project
(Numaligarh Refinery Limited)
(709864)",Assam,"08/2021
(08/2021)","07/2024
(03/2027)","370
(370)",310.38,80.5
30,"Borholla GGS Life Extension Project [BLEP]
(Oil and Natural Gas Corporation Limited [ONGC])
(709850)",Assam,"09/2023
(09/2023)","05/2026
(03/2027)","198.7
(198.7)",110.99,63.5
31,"Pipeline Network Project Rudrasagar
(Oil and Natural Gas Corporation Limited [ONGC])
(709847)",Assam,"01/2023
(01/2023)","04/2026
(04/2027)","481.03
(481.03)",238.83,55.4
32,"Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA
(Indian Oil Corporation Limited [IOCL])
(709779)",Assam,"06/2022
(06/2022)","03/2026
(07/2027)","768
(740)",250.84,60.1
33,"Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi
(Indian Oil Corporation Limited [IOCL])
(709776)",Assam,"04/2022
(04/2022)","09/2026
(-)","277
(323.09)",236.16,84.3
34,"Group Gathering Station, Lakwagaon
(Oil India Limited)
(619316)",Assam,"10/2025
(10/2025)","10/2027
(-)","495.59
(495.59)",20.04,7.8
35,"Coke Drum Structure Package
(Numaligarh Refinery Limited)
(617836)",Assam,"12/2022
(12/2022)","12/2025
(-)","635.28
(635.28)",464.46,72
36,"Pipeline Rehabilitation Project, Phase-II
(Oil India Limited)
(617827)",Assam,"12/2024
(12/2024)","12/2029
(-)","680
(680)",13.53,29
37,"Construction of Field Gas Gathering Station at Baghjan area for collection,
processing & transportation of natural Gas to be produced from Baghjan Field
(Oil India Limited)
(616858)",Assam,"12/2020
(12/2020)","03/2024
(11/2026)","430.76
(430.76)",348.65,95.9
38,"Development of Surface Facilities for production and evacuation of Crude Oil and
Natural Gas from Nadua and East Khagorija
(Oil India Limited)
(604863)",Assam,"01/2018
(01/2018)","02/2020
(12/2026)","682.9
(726.93)",601.12,94.4
39,"Numaligarh Refinery Expansion Project
(Numaligarh Refinery Limited)
(604791)",Assam,"07/2020
(07/2020)","07/2024
(03/2027)","12366
(25313)",20411.19,87
40,"Augmentation/ Revamping of Dimapur Depot, Dimapur
(Indian Oil Corporation Limited [IOCL])
(709786)",Nagaland,"08/2023
(08/2023)","11/2027
(-)","227.62
(227.62)",28.03,43
41,"Creation of Gas Dehydration Facilities, Tripura Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709837)",Tripura,"03/2022
(03/2022)","05/2024
(10/2026)","209.33
(131.51)",81.31,71.3
42,"North East Gas Grid
(Indradhanush Gas Grid Limited)
(701346)",Tripura,"04/2020
(04/2020)","03/2024
(03/2028)","9265
(9265)",7008,88.2
,Total (15),,,,27380.71,30205.37,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
43,"Establishment of new GMC West Garo Hills [Tura]
(Medical Education, Ministry of Health and Family Welfare)
(706989)",Meghalaya,"NA
(01/1900)","01/1900
(-)","189
(189)",170.1,0
44,"Establishment of new GMC Mon
(Medical Education, Ministry of Health and Family Welfare)
(707067)",Nagaland,"NA
(01/1900)","01/1900
(-)","325
(325)",155,0
45,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)",Sikkim,"10/2018
(12/2018)","12/2026
(07/2026)","250
(635.21)",667.21,92
,Total (3),,,,764,992.31,
