Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
471,"350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand
(Employee's State Insurance Company [ESIC])
(612186)
(-) (-)",Gujarat,"06/2022
(04/2023)","03/2026
(05/2027)","558.12
(558.12)",55.81,28
472,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds
to 150 beds.
(Employee's State Insurance Company [ESIC])
(612211)
(-) (-)",Gujarat,"08/2022
(10/2023)","10/2025
(11/2026)","205.87
(205.87)",51.74,58
473,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka
(Employee's State Insurance Company [ESIC])
(612745)
(-) (-)",Karnataka,"02/2015
(10/2024)","01/2027
(05/2027)","278.00
(278.00)",80.52,35
474,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli,
Karnataka
(Employee's State Insurance Company [ESIC])
(612748)
(-) (-)",Karnataka,"07/2019
(03/2025)","02/2027
(-)","150.92
(150.92)",31.05,28.1
475,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.
(Employee's State Insurance Company [ESIC])
(612213)
(-) (-)",Maharashtra,"10/2013
(08/2022)","08/2025
(09/2026)","194.93
(196.70)",116.22,67
476,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff
Housing for ESIC Hospital at Andheri, Mumbai
(Employee's State Insurance Company [ESIC])
(616691)
(-) (-)",Maharashtra,"12/2008
(06/2009)","08/2025
(09/2026)","260.13
(260.13)",216.46,89
477,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.
(Employee's State Insurance Company [ESIC])
(612513)
(-) (-)",Odisha,"12/2010
(02/2025)","06/2027
(-)","164.60
(164.60)",16.44,7.2
478,"CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR
(Employee's State Insurance Company [ESIC])
(612259)
(-) (-)",Uttarakhand,"02/2021
(12/2021)","10/2024
(07/2026)","102.40
(297.63)",340.3,90.5
,Total (9),,,,2299.24,1194.92,
,"Ministry of Ports, Shipping and Waterways",,,,,,
,Inland Waterways,,,,,,
479,"Jal Marg Vikas Project
(Inland Waterways Authority of India [IWAI])
(701565)
(-) (-)","Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)","01/2018
(02/2018)","12/2023
(10/2026)","5369.18
(5061.15)",4187.19,85.1
,Total (1),,,,5369.18,4187.19,
,Shipping,,,,,,
480,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis
Under PPP Mode
(Deendayal Port Trust)
(609424)
(-) (-)",Gujarat,"10/2022
(03/2024)","03/2027
(09/2027)","4243.64
(4243.64)",2737.7,60
481,"Replacement and revamping of pipeline projects in oil jetty area, Kandla
(Deendayal Port Trust [DPT])
(701570)
(-) (-)",Gujarat,"09/2021
(09/2021)","09/2023
(03/2025)","171.00
(211.61)",149.5,92
482,"Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT
basis - Phase II
(New Mangalore Port Authority)
(617804)
(-) (-)",Karnataka,"12/2023
(06/2024)","03/2027
(-)","153.23
(153.23)",97.45,95
483,"Deepening and Optimization of Inner Harbour facilities including development of
Western Dock on BOT basis to handle Cape size vessels
(Paradip Port Trust [PPT])
(701574)
(-) (-)",Odisha,"05/2022
(01/2023)","12/2027
(10/2028)","3004.63
(3004.63)",2261.12,76
,Total (4),,,,7572.50,5245.77,
,"Tourism, Hospitality & Wellness",,,,,,
484,"National Maritime Heritage Complex [NMHC] Phase-I
(Indian Port Rail & Ropeway Corporation Ltd. [IPRCL])
(707215)
(-) (-)",Gujarat,"02/2019
(01/2022)","11/2026
(03/2026)","573.00
(1238.05)",656.38,79.87
,Total (1),,,,573.00,656.38,
,Department for Promotion of Industry & Internal Trade,,,,,,
,Logistics Infrastructure,,,,,,
485,"Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk
Infrastructure Development Phase 1
(NICDC)
(707410)
(-) (-)",Haryana,"05/2018
(12/2021)","12/2023
(05/2028)","763.00
(763.00)",430,60
,Total (1),,,,763.00,430,
,Real Estate,,,,,,
486,"Orvakal Industrial Area
(NICDC)
(617727)
(-) (-)",Andhra Pradesh,"08/2024
(10/2025)","10/2028
(-)","2786.00
(2786.00)",356.05,16.22
487,"Kopparthy Industrial Area
(NICDC)
(617729)
(-) (-)",Andhra Pradesh,"08/2024
(10/2025)","10/2028
(-)","2136.00
(2136.00)",39.75,5.39
