Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
33,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,Telangana,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"2360
2360",42.89
,,Department of Higher Education,Education,1,"262
262",216.10
,,Department of Telecommunications,Telecommunication,2,"3462.17
2489.2",857.71
,,"Department of Water Resources, River
Development & GR",Water Resources,4,"11670.14
24129.6",12143.40
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",398.75
,,Ministry of Coal,Coal,7,"2986.57
2986.57",1803.54
,,Ministry of Health & Family Welfare,Healthcare,1,"1028
1365.95",989.98
,,Ministry of Housing & Urban Affairs,Construction,1,"644
644",175.79
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"215
215",45.99
,,Ministry of Power,Electricity Generation,1,"29344.85
29344.8",729.63
,,,Transmission & Distribution,1,"1368
1368",1231.20
,,Ministry of Railways,Railways,11,"19213.75
22977.8",15721.46
,,Ministry of Road Transport & Highways,Roads & Highways,49,"36602.98
39152.2",14528.78
,,,Total,83,171412.07,98102.06
34,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,Tripura,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"9474.33
9396.51",6979.98
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Road Transport & Highways,Roads & Highways,9,"6260.76
6260.76",839.35
,,,Total,14,82600.55,62613.92
35,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,Uttar Pradesh,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"658
658",75.63
,,Department of Higher Education,Education,1,"246
246",209.68
,,Department of Telecommunications,Telecommunication,5,"10808.82
9643.14",1695.83
,,"Department of Water Resources, River
Development & GR",Waste & Water,2,"1532.96
1532.96",243.43
,,,Water Resources,3,"22310.57
25667.1",13221.80
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"3949.13
3949.13",1293.38
,,Ministry of Coal,Coal,2,"1328.09
1328.09",1294.59
,,Ministry of Housing & Urban Affairs,Urban Public Transport,4,"27511.5
27511.5",15212.43
,,,Waste & Water,2,"704.2
734.95",659.17
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"11068.45
11068.5",8967.90
,,,Oil & Gas,4,"17302.12
17302.1",988.73
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",4117.61
,,Ministry of Power,Electricity Generation,1,"17195
17195",3646.01
,,,Transmission & Distribution,5,"36697.81
36697.8",5059.42
,,Ministry of Railways,Railways,26,"95077.38
168712",148687.61
,,Ministry of Road Transport & Highways,Roads & Highways,106,"127489.74
122329",48276.34
,,,Total,170,441003.08,302866.40
36,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,Uttarakhand,Department of Higher Education,Education,1,"650.85
650.85",391.87
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"2584.1
2584.1",1307.15
,,Ministry of Health & Family Welfare,Healthcare,2,"650
1093.89",601.08
,,Ministry of Housing & Urban Affairs,Real Estate,1,"150.97
206",56.76
,,Ministry of Labour and Employment,Healthcare,1,"102.4
297.63",340.30
,,Ministry of Power,Electricity Generation,2,"6838.35
17312.4",13466.35
,,Ministry of Railways,Railways,1,"38953
38953",28828.18
