Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
63,"4L of Sagar - Mohari from Km.8 to Km.50 Pkg-I
(NHAI)
618665",Madhya Pradesh,"03/2021
(04/2022)","(04/2024)
(03/2026)","790.78
(660.38)",555.28
64,"Indore - Harda Pkg-III [Nanasa to Pidgaon Section from km 95.000 to km
142.445]
(NHAI)
618695",Madhya Pradesh,"01/2020
(10/2021)","(10/2023)
(04/2026)","1146.22
(1240.64)",758.23
65,"Balance work of 4L of Nauradehi Sanctuary de-scoped stretch of Hiran River to
Sindoor River from Km. 66.00 to 130.00 NH-12 New NH-45
(NHAI)
618701",Madhya Pradesh,"01/2021
(07/2021)","(07/2023)
(07/2025)","178.18
(153.15)",143.37
66,"Rehabilitation & up-gradation for Talere Gaganbawada - kolhapur Road NH
166G stretch start from km. 0/00 to Km. 06/00 and km. 13/00 to km 19/440 of
NH-166G, length 12.440 km in the State of Maharashtra.
(MoRTH)
618099",Maharashtra,"03/2024
(10/2024)","(04/2026)
(10/2025)","164.13
(-)",115.51
67,"Vadodara Mumbai Expressway Phase II - Pkg XI [Km. 77.000 to Km. 103.400]
Ganjad - Talsari
(NHAI)
618468",Maharashtra,"06/2020
(05/2022)","(05/2024)
(01/2026)","1524.71
(1913.95)",901.76
68,"Tarsod - Fagne section of NH-6
(NHAI)
618638",Maharashtra,"06/2016
(01/2019)","(07/2021)
(04/2026)","2267.99
(2560.5)",2213.75
69,"Chakur Loha Section of NH-361 from km 114.600 to km 187.80
(NHAI)
618652",Maharashtra,"03/2018
(03/2019)","(03/2021)
(02/2026)","1241.38
(3342.11)",1717.21
70,"4L of existing 2/4L stretch from Lonand to Dive Ghat Km 166.400 to Km 220.900
of Mohol Alandi section of NH-965 Pkg - V
(NHAI)
619209",Maharashtra,"10/2021
(05/2022)","(05/2024)
(03/2026)","1709.56
(2049.51)",1295.04
71,"Up-gradation to 2-lane with paved shoulders of Ngopa - Pawlrang section of NH
102B of Aizawl - Imphal Economic Corridor from Existing Chainage km 32.796 to
km 72.030 [Design Chainage km 31.280 to km 68.170] in the State of Mizoram
under Bharatmala Pariyojna on EPC mode under NHO-NE Package-2 Keifang-
Tuivai Pkg-2
(NHIDCL)
618341",Mizoram,"09/2021
(09/2023)","(02/2025)
(06/2025)","523.78
(-)",426.69
72,"Widening and up-gradation to 2-lane with paved shoulder configuration and
geometric improvements from km 250.00 Lunglei to km 298.00 on Aizawl-
Tuipang section under JICA ODA Loan assistance Phase-I Package-6
(NHIDCL)
618381",Mizoram,"09/2019
(12/2019)","(06/2023)
(05/2025)","768.76
(-)",168.78
73,"Widening and up-gradation to 2-lane with paved shoulder configuration and
geometric improvements from km 298.00 to km 339.00 on Aizawl-Tuipang
section under JICA ODA Loan assistance Phase-I Package-7
(NHIDCL)
618382",Mizoram,"09/2019
(10/2020)","(04/2024)
(05/2025)","605.76
(750.32)",132.33
74,"Widening and Up-gradation to 2- Lane with Paved Shoulder Configuration and
geometric improvement from Km. 166. 000 to Km 208.000 Package-4 on Aizawl
Tuipang Section of NH-54 in the State of Mizoram Package-4
(NHIDCL)
618384",Mizoram,"09/2019
(10/2019)","(04/2023)
(04/2025)","899.45
(-)",191.68
75,"6L of Varadharajula to Kumarajapet from km 0.000 to km 43.800 of NH-716B
Pkg-I
(NHAI)
618771","Multi-States (Andhra
Pradesh, Tamil Nadu)","02/2021
(12/2022)","(12/2024)
(02/2026)","1924.75
(1887.38)",1120.2
76,"6L of Aurangabad to Bihar-Jharkhand border Chordaha section from km.
209.827 to Km. 249.525 of NH-19 PKG-02
(NHAI)
618532","Multi-States (Bihar,
Jharkhand)","06/2021
(03/2022)","(03/2024)
(04/2026)","1822.46
(738.11)",611.43
77,"6L of Dhanara - Hatibena Section from Km 124.611 to km 146.50 of NH-130-CD
Package OD-1
(NHAI)
618676","Multi-States
(Chhattisgarh, Odisha)","02/2021
(03/2022)","(03/2024)
(03/2026)","477.76
(638.32)",359.28
78,"6L from Belgaum to Sankeshwar Bypass from Km. 515.000 to Km. 555.017 of
NH-48 Pkg-I
(NHAI)
618515","Multi-States
(Maharashtra,
Karnataka)","11/2021
(10/2022)","(04/2025)
(03/2026)","1479.3
(1237.04)",1199.4
79,"Mangloor to Telangana Maharashtra Border
(NHAI)
618624","Multi-States
(Maharashtra,
Telangana)","03/2018
(04/2019)","(04/2021)
(10/2025)","1082.65
(1323.12)",1011.7
80,"4L of Rajura-Korpana-Adilabad Road upto M.S. Border from km 32.910 to km
89.090 of NH-353B
(NHAI)
618938","Multi-States
(Maharashtra,
Telangana)","03/2022
(10/2022)","(10/2024)
(03/2026)","1013.33
(1274.63)",699.33
81,"4L Greenfield a Malout bypass from ch. Km 44.500 to ch. Km 35.500 on NH-07
and Ch. Km 0.000 to Km 6.984 on NH-09 bMandi Dabwali Bypass from Ch.
38.450 Km to Km 27.910 Pkg-02
(NHAI)
618760","Multi-States (Punjab,
Haryana)","11/2021
(12/2022)","(07/2024)
(01/2026)","646.42
(556.09)",571.11
82,"4L Ambala - Kalaamb from Km. -0.800 to Km. 33.015 of old NH-72
(NHAI)
618935","Multi-States (Punjab,
Haryana)","10/2022
(06/2023)","(06/2025)
(02/2026)","1183.7
(1190.34)",706.54
83,"4L of left out existing road section from Lalgopalganj Km 161.450 to Nawabganj
Km 180.200 in Prayagraj
(NHAI)
618755","Multi-States (Rajasthan,
Uttar Pradesh)","03/2024
(04/2025)","(03/2026)
(04/2026)","159.53
(100.74)",93.24
84,"Akshardham - DL/UP Border Pkg-01
(NHAI)
619122","Multi-States (Uttar
Pradesh, Delhi)","09/2020
(06/2022)","(12/2024)
(08/2024)","1479.22
(1476.75)",1399.88
85,"4L from Km 219.600 Khajuri to Km 260.483 Wyndhamganj on NH-75 Sec-V
(NHAI)
618828","Multi-States (Uttar
Pradesh, Jharkhand)","03/2022
(09/2023)","(09/2025)
(05/2026)","1436.49
(1465.55)",959.96
