Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
46,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",667.21,92
,Total (3),,,,764,992.31,
,Ministry of Railways,,,,,,
,Railways,,,,,,
47,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0,0
48,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
49,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
50,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3831.06,95.16
51,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
52,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",16327.07,73.05
53,"Byrnihat-Shillong New Rail Line- 108 km
(Northeast Frontier Railway [NFR])
(705396)",Meghalaya,"04/2011
(03/2010)","03/2021
(03/2027)","8324.28
(8342.28)",266.12,2.04
54,"Murkongselek-Pasighat
(Northeast Frontier Railway [NFR] - II)
(705401)","Multi-States (Assam,
Arunachal Pradesh)","02/2011
(03/2023)","03/2025
(12/2026)","435
(1250)",887.87,72
55,"Tetlia-Byrnihat New Railway Line
(Northeast Frontier Railway [NFR])
(705394)","Multi-States (Assam,
Meghalaya)","08/2010
(03/2007)","11/2011
(06/2027)","1304.62
(1304.62)",1258.8,86.16
56,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Assam,
Nagaland)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",141.06,12.5
57,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR] - II)
(705392)","Multi-States (Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2029)","6663
(6663)",6748.9,46.5
58,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",11090.47,80
,Total (12),,,,50056.05,40943.08,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
59,"Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59
to Km 206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under
Arunachal Pradesh Package of Roads and Highways of SARDP-NE [Job No
SARDP-NE/P-P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116]
(MoRTH)
(617892)",Arunachal Pradesh,"03/2019
(11/2020)","11/2023
(07/2026)","450.65
(450.65)",345.01,96.61
60,"4-Laning of Itanagar to Bandardewa section of NH-415from km 40430 to km
51735 Package-Bon EPC Mode in the state of Arunachal Pradesh Job NO.
415/Ar. P/2020-21/031
(MoRTH)
(618033)",Arunachal Pradesh,"06/2020
(12/2021)","12/2024
(07/2026)","496.47
(496.47)",171.91,51.37
61,"Construction of Balance work of 2-Lane with PS of Joram Koloriang Road from
existing Km122.600 to km138.00 [Design Km108.724 to Km123.714] in
Arunachal Pradesh on EPC Mode under SARDP-NE Pkg-7
(NHIDCL)
(618433)",Arunachal Pradesh,"02/2017
(10/2020)","04/2022
(04/2026)","184.89
(184.89)",0,99.69
62,"Roing-Hunli Road Greenfield Alignment Project
(NHIDCL)
(618434)",Arunachal Pradesh,"02/2017
(03/2018)","03/2022
(10/2026)","1718.59
(1718.59)",189.24,82.32
63,"Construction of 2-Laning with hard shoulders of Demwe-Brahmakund section of
NH-13 from Ch.0.00 km to 18.464 km on EPC under SARDP-NE NHO-NE -
Balance Work
(NHIDCL)
(618445)",Arunachal Pradesh,"08/2020
(06/2025)","12/2027
(12/2027)","353.9
(353.9)",0,19.55
64,"lmprovement and Widening to 2 lane with paved Shoulder of NH-15 old NH-52
from Existing Km 770.600 Design Km 24.819 to Existing km 805.750 Design Km
59.885 Kamlang T-Junction to Chowkham, Existing Length 35.150 Km, Design
Length-35.066 Km in the state of Arunachal Pradesh on EPC mode Pkg-2
(NHIDCL)
(619014)",Arunachal Pradesh,"12/2023
(02/2026)","02/2028
(02/2028)","316.73
(316.73)",0,11.74
65,"lmprovement and Widening to 2-lane with Paved Shoulder of NH-13 & 15 Old
NH-52 from Existing Km 745.60 Design Km 0.000 to Existing km 770.600 Design
Km 24.819 Brahmakund T-junction to Kamlang T-Junction, Existing Length 25.00
Km, Design Length 24.819 Km in the state of Arunachal Pradesh on EPC mode
Pkg-1
(NHIDCL)
(619248)",Arunachal Pradesh,"12/2023
(06/2026)","06/2028
(-)","441.41
(441.41)",0,0
66,"Construction of Intermediate Lane of Pango to Jorging Road from 0000 to Design
Km Design Km 40000 Design Length 40.00 Km, Pkg-l, Greenfield Alignment in
the State of Arunachal Pradesh on EPC mode Pkg-1
(NHIDCL)
(618405)",Arunachal Pradesh,"01/2024
(01/2025)","07/2027
(07/2027)","898.19
(898.19)",0,39.8
