Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
659,"Chhapra-Ballia Patch Doubling
(North Eastern Railway [NER])
(705562)
(-) (-)","Multi-States
(Bihar, Uttar
Pradesh)","03/2013
(12/2015)","02/2025
(05/2026)","963
(1046)",918.18,96
660,"Katihar Kumedpur & Katihar Mukuria BG Doubling Project
(Northeast Frontier Railway [NFR])
(617245)
(-) (-)","Multi-States
(Bihar, West
Bengal)","08/2022
(08/2022)","08/2026
(02/2027)","942.64
(942.64)",656.16,66
661,"Gondia - Dongargarh 4th line [84 Km]
(South Eastern Central Railway)
(618978)
(-) (-)","Multi-States
(Chhattisgarh,
Maharashtra)","10/2025
(10/2025)","10/2030
(-)","2222.53
(2222.53)",0.35,1
662,"Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km]
(South East Central Railway [SECR] - II)
(705617)
(-) (-)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2016
(12/2016)","12/2024
(06/2026)","3545
(3545)",3678.97,96
663,"Sardega -Bhalumuda New Double line [37.24 Km]
(SECR)
(617390)
(-) (-)","Multi-States
(Chhattisgarh,
Odisha)","09/2024
(09/2024)","03/2028
(-)","1281.81
(1281.81)",130.14,5
664,"Jagdalpur-Koraput
(East Coast Railway [ECoR] - II)
(705511)
(-) (-)","Multi-States
(Chhattisgarh,
Odisha)","12/2015
(03/2016)","03/2024
(12/2026)","1547
(1547)",1403.9,92.55
665,"Jharsuguda-Bilaspur Fourth Railway Line [206 km]
(SECR)
(705616)
(-) (-)","Multi-States
(Chhattisgarh,
Odisha)","09/2016
(09/2016)","10/2024
(03/2026)","2140
(2979)",2302.69,97
666,"Mumbai-Ahmedabad High Speed Rail Project- 508 km
(National High Speed Rail Corporation [NHSRC])
(705728)
(-) (-)","Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","03/2015
(09/2017)","08/2027
(12/2029)","108000
(108000)",90966.89,60.87
667,"Raising of speed to 160 kmph/200 kmph on existing New Delhi-Mumbai route incl.
Vadodara-Ahmedabad
(PCE/WR)
(705793)
(-) (-)","Multi-States (Delhi,
Gujarat, Madhya
Pradesh,
Maharashtra,
Rajasthan)","09/2019
(09/2019)","03/2024
(03/2026)","6806.44
(8095.12)",9480.86,66.32
668,"Hospet - Tinaighat - Vasco Rail Doubling Project
(RVNL - II)
(705650)
(-) (-)","Multi-States (Goa,
Karnataka)","03/2010
(07/2012)","03/2027
(12/2027)","5060
(5060)",5511.03,86.14
