Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
11,Gujarat,Department of Higher Education,Education,1,"490.63
490.63",329.53
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"25739.93
40082.8",36817.84
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,"1668.1
1914.1",962.12
,,Ministry of Coal,Electricity Generation,4,"5421.78
5421.78",2490.75
,,Ministry of Health & Family Welfare,Healthcare,3,"1845
2477.48",2142.58
,,Ministry of Housing & Urban Affairs,Real Estate,1,"539
539",39.63
,,,Urban Public Transport,2,"22793.32
24944.9",21309.58
,,,Waste & Water,1,"200
200",100.00
,,Ministry of Labour and Employment,Healthcare,2,"763.99
763.99",107.54
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"19472.86
19420.4",15409.74
,,,Oil & Gas,11,"32704.12
32414.6",24630.06
,,"Ministry of Ports, Shipping and Waterways",Shipping,2,"4414.64
4455.25",1577.50
,,,"Tourism, Hospitality & Wellness",1,"573
1238.05",611.24
,,Ministry of Power,Electricity Generation,1,"339.35
339.35",370.00
,,,Transmission & Distribution,16,"69253.53
69253.5",13875.10
,,Ministry of Railways,Railways,25,"186405.66
264214",238186.91
,,Ministry of Road Transport & Highways,Roads & Highways,45,"48820.61
55725.3",25015.80
,,,Total,122,421445.52,383975.92
12,Haryana,"Department for Promotion of Industry &
Internal Trade",Logistics Infrastructure,1,"763
763",430.00
,,Ministry of Health & Family Welfare,Healthcare,1,"1299
1646.43",651.42
,,Ministry of Housing & Urban Affairs,Urban Public Transport,2,"11683.71
11683.7",165.01
,,,Waste & Water,2,"491.2
491.2",408.81
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"9028
9028",7132.48
,,,Oil & Gas,6,"46284.07
49955.1",36483.78
,,Ministry of Power,Transmission & Distribution,2,"11326
11326",2533.05
,,Ministry of Railways,Railways,4,"53464
126368",125759.33
,,Ministry of Road Transport & Highways,Roads & Highways,24,"32523.29
35571.1",13358.40
,,,Total,43,166862.27,186922.28
13,Himachal Pradesh,Department of Higher Education,Education,3,"811.15
921.89",680.80
,,Ministry of Power,Electricity Generation,3,"5113.04
11168.7",4082.68
,,Ministry of Railways,Railways,2,"14987
14987.1",8135.59
,,Ministry of Road Transport & Highways,Roads & Highways,24,"21827.16
25954.6",9348.82
,,,Total,32,42738.35,22247.89
14,Jammu and Kashmir,Department of Higher Education,Education,1,"424.93
500.91",484.52
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"861.37
861.37",316.60
,,Ministry of Health & Family Welfare,Healthcare,1,"1828
2160.84",1545.05
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"1059.9
1059.9",293.22
,,Ministry of Power,Electricity Generation,4,"22207.77
27945.1",15595.18
,,,Transmission & Distribution,1,"218.6
218.6",3.28
,,Ministry of Road Transport & Highways,Roads & Highways,37,"33781.46
33862.9",12868.39
,,,Total,47,60382.03,31106.24
15,Jharkhand,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2529.89
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"5430.04
12010.3",6172.77
,,Ministry of Coal,Coal,28,"51354.95
51119.3",11216.59
,,,Railways,1,"1799.64
2564.34",1663.13
