Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
571,"Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at
(PCE/WR)
(611978)
(-)",Gujarat,"11/2022
(03/2023)","03/2025
(-)","158
(158)",51.87,10
572,"Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii
(Western Railway [WR] - II)
(611979)
(-)",Gujarat,"01/2023
(04/2023)","06/2025
(05/2026)","250
(250)",134.97,88
573,"4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS
(Western Railway WR - II)
(612072)
(N22000532)",Gujarat,"02/2023
(02/2023)","03/2027
(07/2028)","961.67
(961.67)",496.02,21
574,"Redevelopment of Ahmedabad railway station and associated infrastructure on
engineering, procurement and construction mode
(Rail Land Development Authority)
(613786)
(-)",Gujarat,"01/2023
(11/2023)","03/2028
(-)","2379
(2379)",913.54,29.7
575,"Devbhumi Dwarka [Okha] - Kanalus Doubling
(Western Railway [WR] - II)
(618972)
(-)",Gujarat,"12/2025
(12/2025)","12/2028
(-)","1456.77
(1456.77)",0,0
576,"Miyagam-Karjan-Dabhoi-Samlaya [GC]
(Western Railway [WR] - II)
(705458)
(N22000142)",Gujarat,"01/2017
(01/2017)","03/2021
(12/2026)","483.88
(1039.13)",654.38,42
577,"Modasa-Shamlaji Road Railway Line Project
(Western Railway WR - II)
(706757)
(N22000622)",Gujarat,"09/2012
(04/2008)","03/2025
(03/2026)","262
(262)",365.22,64
578,"Rajkot - Kanalus Doubling Project [111.2 Kms]
(Western Railway WR - II)
(706763)
(N22000535)",Gujarat,"10/2021
(12/2021)","10/2026
(06/2026)","1080.58
(1080.58)",916.33,81
579,"NADIAD-PETLAD [37.26 KM]
(Railway)
(709812)
(N22000539)",Gujarat,"05/2022
(10/2023)","06/2030
(06/2030)","461.91
(461.91)",178.78,8
580,"NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND &
BOTAD-AHMEDABAD [16.51 KM]
(Western Railway [WR] - II)
(709813)
(N22000551)",Gujarat,"10/2022
(07/2025)","06/2028
(10/2027)","437.21
(437.21)",116.06,21
581,"Bhiwani - Dobh Bahali Doubling Project [42.30 Km]
(North Western Railway [NWR])
(611884)
(N22000604)",Haryana,"02/2023
(02/2023)","02/2028
(02/2028)","471
(471)",250.47,72
582,"Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway
(East Central Railway [ECR] - I)
(617372)
(-)",Jharkhand,"11/2022
(11/2022)","12/2025
(03/2026)","349.22
(349.22)",119.69,71.2
583,"Koderma-Arigada Doubling 133.38 Km of East Central Railway
(East Central Railway [ECR] - I)
(617832)
(-)",Jharkhand,"06/2025
(06/2025)","12/2029
(-)","2887.11
(2887.11)",0,0
584,"Gomoh - Flyover for DN trains
(East Central Railway [ECR] - I)
(705765)
(N22000611)",Jharkhand,"01/2018
(01/2018)","03/2026
(03/2026)","686
(686)",621.98,66
585,"Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection
(South Eastern Railway [SER] - I)
(705785)
(N22000508)",Jharkhand,"08/2021
(03/2019)","06/2026
(05/2027)","473
(473)",302.69,5
586,"Pradhan Kuntha Jn Line Doubling Project
(East Central Railway [ECR] - I)
(706837)
(N22000529)",Jharkhand,"11/2022
(11/2022)","11/2027
(11/2027)","349.22
(349.22)",119.69,71.2
587,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)
(N22000558)",Karnataka,"03/2019
(12/2025)","04/2028
(04/2027)","749
(749)",0.94,0.3
588,"Yeshvanthpur - Channasandra Doubling Project [21.70 Km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703585)
(N22000543)",Karnataka,"04/2019
(10/2019)","03/2024
(03/2026)","314.1
(683.57)",169.1,56
589,"New Railway Line between Ginigera and Raichur [165.57 km]
(South Western Railway [SWR] - II)
(705434)
(-)",Karnataka,"03/2008
(05/2009)","03/2019
(03/2027)","2565
(3034.98)",2247.23,70
590,"Gadag-Wadi New Railway Line [257 km]
(South Western Railway [SWR] - II)
(705490)
(N22000299)",Karnataka,"04/2013
(08/2017)","03/2027
(12/2027)","2842
(6700)",1513.54,34
591,"Kadur - Chickamagalur - Sakleshpur [93km]
(South Western Railway [SWR] - II)
(705492)
(N22000486)",Karnataka,"01/2014
(11/2016)","06/2025
(12/2025)","825
(825)",760.05,84
592,"Bagalkot-Kudachi New Railway Line [142 km]
(South Western Railway [SWR] - II)
(705495)
(N22000258)",Karnataka,"10/2013
(11/2012)","03/2027
(01/2027)","1378
(1649)",783.19,35.8
593,"Tumkur-Chitradurga-Davangere New Rail Line Project [191 km]
(South Western Railway [SWR] - II)
(705496)
(N22000256)",Karnataka,"10/2013
(01/2017)","03/2019
(12/2027)","1876
(1876)",543.22,15
