Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,2,"2243
2243",430
,,Real Estate,8,"16507.91
16507.9",1457.75
,,Total,10,"18,750.91","1,887.75"
2,Department of Higher Education,Education,30,"15165.68
14908.2",8352.55
,,Total,30,"15,165.68","8,352.55"
3,Department of Sports,Education,1,"906.47
611.74",575.68
,,Total,1,906.47,575.68
4,Department of Telecommunications,Telecommunication,12,"151125.15
253047",76237.3
,,Total,12,"151,125.15","76,237.30"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,32,"98109.28
199840",141119
,,Total,40,"102,148.40","142,762.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"21600.76
22814.8",11077.3
,,Total,26,"21,600.76","11,077.30"
7,Ministry of Coal,Coal,113,"183618.68
181075",47831.3
,,Electricity Generation,6,"36781.81
36781.8",6331.46
,,Railways,2,"3485.86
5002.87",2338.96
,,Total,121,"223,886.35","56,501.72"
8,Ministry of Health & Family Welfare,Healthcare,35,"20308.19
24527",10306.3
,,Total,35,"20,308.19","10,306.30"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",161.57
,,Real Estate,4,"33749.85
33816",15088
,,Urban Public Transport,29,"307834.71
326438",171813
,,Waste & Water,16,"3986.5
4085.78",3156.09
,,Total,50,"346,215.06","190,218.66"
10,Ministry of Labour and Employment,Healthcare,9,"2299.24
2496.24",1160.04
,,Total,9,"2,299.24","1,160.04"
11,Ministry of Mines,Construction,1,"255.37
255.37",98.92
,,Metals & Mining,5,"7989.36
12087.2",7250.79
,,Total,6,"8,244.73","7,349.71"
12,Ministry of Petroleum & Natural Gas,Energy Storage,16,"80623.3
120394",103092
,,Oil & Gas,93,"362529.04
393368",383046
,,Total,109,"443,152.34","486,138.00"
13,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",4028.82
,,Shipping,6,"14404.75
14445.4",10820
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",624.41
,,Total,8,"20,346.93","15,473.23"
14,Ministry of Power,Coal,2,"2083
2365",1033.41
,,Electricity Generation,32,"314074.05
364801",134194
,,Transmission & Distribution,67,"203895.17
209859",66309.2
,,Total,101,"520,052.22","201,536.61"
15,Ministry of Railways,Railways,261,"728025.49
879362",583862
,,Total,261,"728,025.49","583,862.00"
16,Ministry of Road Transport & Highways,Roads & Highways,1149,"1067985.07
1.09464e+006",377508
,,Total,1149,"1,067,985.07","377,508.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",263.01
,,Steel,18,"17811.66
21050",10473.8
,,Total,19,"19,511.66","10,736.81"
Total,,,1987,"3,709,724.65","2,181,683.71"
