Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
19,Madhya Pradesh,Ministry of Railways,Railways,18,"55989.79
69626.6",55645.10
,,Ministry of Road Transport & Highways,Roads & Highways,61,"43398.77
40100.6",11785.28
,,,Total,123,301111.72,118661.28
20,Maharashtra,Department of Telecommunications,Telecommunication,3,"7147.17
3937.81",1958.12
,,"Department of Water Resources, River
Development & GR",Water Resources,6,"10857.15
20187.1",22087.90
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",393.31
,,Ministry of Coal,Coal,26,"12900.3
12900.3",3188.30
,,Ministry of Health & Family Welfare,Healthcare,1,"189
189",113.40
,,Ministry of Housing & Urban Affairs,Urban Public Transport,9,"60255.66
74569.4",36559.57
,,,Waste & Water,2,"430.15
430.15",357.33
,,Ministry of Labour and Employment,Healthcare,2,"455.06
456.83",330.85
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"764.49
872.81",639.77
,,,Oil & Gas,12,"41651.03
44399.3",16331.40
,,"Ministry of Ports, Shipping and Waterways",Shipping,1,"6000
6000",5999.89
,,Ministry of Power,Transmission & Distribution,5,"29470.41
29470.4",3252.69
,,Ministry of Railways,Railways,34,"266393.54
357833",288120.08
,,Ministry of Road Transport & Highways,Roads & Highways,101,"84448.08
90412.2",28056.33
,,,Total,205,521462.52,407388.94
21,Manipur,Department of Sports,Education,1,"906.47
611.74",575.68
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"1449.44
1822.24",1848.17
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"499
499",206.61
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6895.77
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Railways,Railways,1,"14323
21885.9",16226.02
,,Ministry of Road Transport & Highways,Roads & Highways,30,"10790.98
10791",6023.36
,,,Total,36,42345.22,37353.36
22,Meghalaya,Department of Higher Education,Education,1,"494.52
429.7",370.98
,,Department of Telecommunications,Telecommunication,1,"971.96
180.46",167.23
,,Ministry of Health & Family Welfare,Healthcare,1,"189
189",170.10
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6895.77
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Railways,Railways,2,"9628.9
9646.9",1524.92
,,Ministry of Road Transport & Highways,Roads & Highways,12,"6148.96
5995.63",1048.74
,,,Total,19,31809.67,15755.49
23,Mizoram,Department of Higher Education,Education,1,"474.23
474.23",167.55
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"225.71
225.71",30.40
,,,Oil & Gas,1,"9265
9265",6895.77
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Road Transport & Highways,Roads & Highways,22,"14592.1
14736.7",2554.21
,,,Total,26,29668.37,15225.68
24,Nagaland,Department of Higher Education,Education,1,"275.63
275.63",263.25
,,Ministry of Health & Family Welfare,Healthcare,1,"325
325",155.00
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"9492.62
9492.62",6922.37
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Railways,Railways,2,"8786.7
8786.7",6663.75
