Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Ministry of Railways,,,,
,Railways,,,,
21,"Nidadavolu-Duvvada 3rd & 4th Lines
(South Central Railway [SCR] - II)
(619326)",Andhra Pradesh,"04/2026
(04/2026)","01/2032
(-)","9889.24
(-)"
,Total (1),,,,9889.24
,Ministry of Road Transport & Highways,,,,
,Roads & Highways,,,,
22,"4L of Pathalgaon-Kunkuri-CG/JH Border section of NH-43 from Km. 00.000 to
Km.104.250
(National Highways Authority of India [NHAI])
(618646)",Chhattisgarh,"08/2024
(04/2026)","04/2029
(04/2029)","3147.07
(-)"
23,"4-laning of Navelim to Cuncolim Section of NH-66 from Km 554.245 to Km 561.480 on
HAM Mode
(MoRTH)
(617943)",Goa,"12/2024
(04/2026)","10/2028
(-)","746.75
(-)"
24,"Construction of 4 lane with PS Idar-Badoli bypass section from design km 81/300 to
km 95/500 of NH 168G in the State of Gujarat
(MoRTH)
(619061)",Gujarat,"03/2025
(05/2026)","05/2028
(05/2028)","705.09
(-)"
25,"4L of existing Wayul Ganderbal Pandach Soura section of old NH-1 as a part of
Srinagar Ring Road Phase IIA
(National Highways Authority of India [NHAI])
(618542)",Jammu and Kashmir,"12/2024
(05/2026)","05/2028
(05/2028)","827.98
(-)"
26,"Construction of Six lane elevated flyover including reconstruction/rehabilitation of
existing pavement from Km 426230 to Km 430500 Length 4.27 Km at Nirsa in the
Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including
Panagarh Bypass in the State of Jharkhand on EPC Mode.
(National Highways Authority of India [NHAI])
(618534)",Jharkhand,"01/2025
(02/2026)","08/2028
(08/2026)","470.75
(-)"
27,"6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Deoria village to
Donoreshan village from km 253.000 to km 288.600 Pkg -10
(National Highways Authority of India [NHAI])
(618730)",Jharkhand,"03/2023
(05/2026)","05/2028
(05/2028)","1546.27
(-)"
28,"Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to
km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH-
169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under
Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023
(MoRTH)
(617997)",Karnataka,"03/2023
(02/2026)","02/2028
(02/2028)","538.71
(-)"
29,"Widening to 4LPS of NH-548B from Km 80.000 Near Murgundi to Km 140.200 Near
Chikkodi excluding length from Km 118.450 to Km 128.450 in the State of Karnataka
under NH O on EPC Mode under Annual Plan 2022-23 - Package 1 NH-548B-KNT-
2022-23-979 dated 09.03.2023
(MoRTH)
(618148)",Karnataka,"03/2023
(04/2026)","04/2028
(04/2028)","785.79
(-)"
30,"Widening to 4LPS of NH-548B from Km 118.450 Near Shirguppi to Km 128.450 Near
Ankali in the State of Karnataka under NH O on EPC Mode Under Annual Plan 2022-
23 NH-548B-KNT-2022-23-982
(MoRTH)
(618151)",Karnataka,"03/2023
(05/2026)","05/2029
(-)","1084.29
(-)"
31,"Balance work of widening to two laning/re-alignment and geometric improvement from
Km. 11000 to Km. 114618 with rectification of damaged stretches and provision of
protection works in vulnerable location of NH-44 in the State of Mizoram.
(MoRTH)
(619321)",Mizoram,"10/2025
(05/2026)","05/2028
(-)","170.96
(-)"
32,"6L Greenfield Varanasi- Ranchi- Kolkata Highway from Sonepurbigha village to
junction with NH- 22 Chatra Bypass near Chatra from km 184.700 to km 222.000Pkg -
8
(National Highways Authority of India [NHAI])
(618732)","Multi-States (Bihar,
Jharkhand)","03/2023
(05/2026)","05/2028
(05/2028)","1728.17
(-)"
33,"4 Laning of Paramakudi to Ramanathapuram Section of NH-87 Old NH-49
(National Highways Authority of India [NHAI])
(619156)",Tamil Nadu,"07/2025
(05/2026)","05/2028
(06/2028)","1853.16
(-)"
34,"Construction of Four Lane Gola Flyover at Km 99.850 of NH 730 Major Junction with
State Highways -93 of Engineering, Procurement and Construction EPC mode in the
State of Uttar Pradesh.
(MoRTH)
(619194)",Uttar Pradesh,"03/2025
(05/2026)","10/2027
(-)","168.05
(-)"
35,"Widening/Upgradation to four lane configuration of Shahjahanpur-Bisalpur section from
km 0.00 to km 47.026 of NH-731K on Hybrid Annuity Mode in the state of Uttar
Pradesh.
(MoRTH)
(618267)",Uttar Pradesh,"03/2023
(05/2026)","05/2028
(-)","1590.2
(-)"
,Total (14),,,,15363.24
