Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
42,"MADANNAGAR OCP 12 MTY - MDO
(SECL - CIL)
(619172)
(-) (11856)",Chhattisgarh,"12/2024
(12/2024)","03/2033
(-)","1859.19
(1859.19)",0.45,0
43,"HURA C OCP
(ECL - CIL)
(400018)
(N06000275) (4585)",Jharkhand,"08/2022
(08/2022)","03/2029
(-)","859.41
(859.41)",455.25,63.22
44,"KONAR EXPANSION OCP
(Ministry of Coal)
(400073)
(N06000245) (4077)",Jharkhand,"01/2022
(01/2022)","03/2032
(-)","674.65
(674.65)",433.64,46.25
45,"KARO EXPANSION OCP
(Ministry of Coal)
(400074)
(N06000246) (4074)",Jharkhand,"01/2022
(01/2022)","03/2029
(-)","849.31
(849.31)",289.45,22.38
46,"SANGHMITRA OC
(Ministry of Coal)
(400136)
(-) (3190)",Jharkhand,"03/2024
(03/2024)","03/2032
(-)","2660
(2660)",17.03,16.77
47,"CHANDRAGUPT OCP
(Ministry of Coal)
(400138)
(N06000238) (3188)",Jharkhand,"08/2020
(08/2020)","03/2032
(-)","973.5
(973.5)",440.75,25.03
48,"KOTRE BASANTPUR PACHMO OCP
(Ministry of Coal)
(400139)
(N06000237) (3183)",Jharkhand,"08/2020
(08/2020)","03/2032
(-)","861.06
(625.4)",456.48,45.52
49,"Pachwara South Coal Block
(NLC India Limited [NLCIL])
(400142)
(N06000193) (3135)",Jharkhand,"03/2016
(11/2019)","09/2028
(-)","2242.9
(2242.9)",1388.09,87
50,"RPR MAGADH EXP OCP
(Ministry of Coal)
(400150)
(N06000216) (3105)",Jharkhand,"08/2020
(08/2020)","03/2028
(-)","7254.37
(7254.37)",1692.65,39.3
51,"NORTH URIMARI EXPANSION OCP
(Ministry of Coal)
(400151)
(N06000218) (3103)",Jharkhand,"07/2021
(07/2021)","03/2029
(-)","778.8
(778.8)",606.01,68.75
52,"EPR ROHINI - KARKETTA OCP
(Ministry of Coal)
(400153)
(N06000243) (3100)",Jharkhand,"01/2021
(01/2021)","03/2028
(-)","1020.42
(1020.42)",85.34,22.54
53,"EPR PUNDI OCP
(Ministry of Coal)
(400154)
(N06000242) (3099)",Jharkhand,"11/2020
(11/2020)","03/2027
(-)","713.35
(713.35)",236.58,10.19
54,"EPR ASHOK OC
(Ministry of Coal)
(400155)
(N06000247) (3098)",Jharkhand,"05/2021
(05/2021)","03/2031
(-)","2821.07
(2821.07)",186.02,27.51
55,"EPR AMRAPALI OCP
(Ministry of Coal)
(400156)
(N06000217) (3091)",Jharkhand,"02/2020
(02/2020)","03/2028
(-)","5136.15
(5136.15)",1326.08,43.58
56,"RAJRAPPA RCE OCP
(Ministry of Coal)
(400160)
(N06000087) (3084)",Jharkhand,"12/2009
(12/2009)","03/2016
(03/2027)","510.85
(510.85)",488.71,76.99
57,"CHITRA EAST OC
(Eastern Coal Fields Limited [ECL])
(400172)
(N06000169) (3032)",Jharkhand,"08/2018
(08/2018)","03/2026
(03/2028)","513.99
(513.99)",240.12,53.03
58,"JHARKHAND-LAIYO OCP
(Ministry of Coal)
(400352)
(N06000240) (778)",Jharkhand,"08/2020
(08/2020)","03/2031
(-)","764.57
(764.57)",145.81,29.39
59,"MOONIDIH XV SEAM UG
(Bharat Coking Coal Limited (BCCL))
(400425)
(N06000098) (189)",Jharkhand,"08/2011
(08/2011)","03/2019
(08/2026)","1230.27
(1230.27)",742.8,82.62
60,"AMALAGAMATED NTST KUJAMA OCP 8.5MTY
(Bharat Coking Coal Limited (BCCL))
(611864)
(N06000273) (5366)",Jharkhand,"01/2023
(01/2023)","03/2030
(-)","4011.85
(4011.85)",414.93,30.92
61,"MURAIDIH UG PROJECT
(Bharat Coking Coal Limited (BCCL))
(613808)
(N06000096) (-)",Jharkhand,"02/2011
(02/2011)","04/2014
(12/2026)","339.87
(339.87)",191.14,70.47
62,"TAPIN SOUTH EXPN
(Ministry of Coal)
(615349)
(N06000241) (-)",Jharkhand,"11/2020
(11/2020)","03/2028
(-)","230.41
(230.41)",22.02,23.24
63,"SIRKA OC
(Ministry of Coal)
(615822)
(N06000239) (-)",Jharkhand,"05/2020
(05/2020)","03/2028
(-)","222.82
(222.82)",140.72,56.02
64,"TETARIAKHAR OC
(Ministry of Coal)
(615843)
(N06000186) (-)",Jharkhand,"11/2019
(11/2019)","03/2025
(03/2027)","243.52
(243.52)",50.82,29.9
