Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Real Estate,2,"3841.25
3841.25",656.65
,,Total,2,"3,841.25",656.65
2,Department of Higher Education,Education,30,"15115.18
14922.5",7945.92
,,Total,30,"15,115.18","7,945.92"
3,Department of Sports,Education,1,"906.47
611.74",559.27
,,Total,1,906.47,559.27
4,Department of Telecommunications,Telecommunication,15,"152734.45
274827",77536
,,Total,15,"152,734.45","77,536.00"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,39,"93740.23
193594",139573
,,Total,47,"97,779.35","141,216.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,"19949.84
20411",9093.09
,,Total,25,"19,949.84","9,093.09"
7,Ministry of Coal,Coal,115,"157276.32
154732",47909.7
,,Electricity Generation,6,"50201.48
54744.6",25878.3
,,Railways,2,"3485.86
4250.56",1929.72
,,Total,123,"210,963.66","75,717.72"
8,Ministry of Health & Family Welfare,Healthcare,5,"8954.19
9972.41",2547.1
,,Total,5,"8,954.19","2,547.10"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",108.53
,,Inland Waterways,1,"63246
63246",29336
,,Real Estate,4,"33749.85
33749.8",58.58
,,Urban Public Transport,23,"238843.11
259425",171216
,,Waste & Water,24,"5898.8
5923.13",4331.96
,,Total,53,"342,381.76","205,051.07"
10,Ministry of Labour and Employment,Healthcare,14,"3365.08
3631.54",1727.44
,,Total,14,"3,365.08","1,727.44"
11,Ministry of Mines,Construction,1,"255.37
255.37",85.9
,,Metals & Mining,6,"8344.36
10724.5",6621.2
,,Total,7,"8,599.73","6,707.10"
12,Ministry of Petroleum & Natural Gas,Energy Storage,18,"81884.05
120807",94582
,,Oil & Gas,95,"355051.01
384190",188847
,,Total,113,"436,935.06","283,429.00"
13,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",3960.83
,,Shipping,9,"15124.41
15290.9",8975.5
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",515.97
,,Total,13,"21,936.59","13,510.30"
14,Ministry of Power,Coal,2,"2083
2365",986.91
,,Electricity Generation,30,"224974.07
281434",139252
,,Transmission & Distribution,64,"153554.68
159518",57184.5
,,Total,96,"380,611.75","197,423.41"
15,Ministry of Railways,Railways,258,"693157.3
846186",542700
,,Total,258,"693,157.30","542,700.00"
16,Ministry of Steel,Metals & Mining,1,"1700
1756.2",142.16
,,Steel,20,"19266.64
22504.9",8979.27
,,Total,21,"20,966.64","9,121.43"
Total,,,823,"2,418,198.30","1,574,941.55"
