Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
33,Uttar Pradesh,"Department of Water Resources, River
Development & GR",Water Resources,3,"2953.27
6309.81",4689.88
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,4,"4168.31
4223.51",1050.76
,,Ministry of Coal,Coal,2,"1328.09
1328.09",1059.79
,,,Electricity Generation,1,"17237.8
21780.9",20711.46
,,Ministry of Housing & Urban Affairs,Urban Public Transport,3,"49730.1
49730.1",42204.79
,,,Waste & Water,2,"797.47
797.47",691.75
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"11068.45
11068.5",8370.29
,,,Oil & Gas,3,"17824.68
18213.1",1691.72
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3577.42
,,Ministry of Power,Electricity Generation,2,"28284.42
30471.2",15163.68
,,,Transmission & Distribution,4,"10482.81
10482.8",2172.56
,,Ministry of Railways,Railways,26,"92690.92
167547",147909.80
,,,Total,60,247935.17,250843.30
34,Uttarakhand,Department of Higher Education,Education,1,"650.85
650.85",195.52
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"2584.1
2584.1",968.52
,,Ministry of Housing & Urban Affairs,Real Estate,1,"150.97
150.97",18.95
,,Ministry of Labour and Employment,Healthcare,1,"102.4
297.63",321.82
,,Ministry of Power,Electricity Generation,3,"11663.95
26070",20788.82
,,Ministry of Railways,Railways,1,"38953
38953",24645.15
,,,Total,8,54105.27,46938.78
35,West Bengal,Department of Higher Education,Education,1,"500
442",390.60
,,Department of Telecommunications,Telecommunication,2,"3462.17
3462.17",728.29
,,"Department of Water Resources, River
Development & GR",Waste & Water,1,"154.73
154.73",96.17
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,"1877.3
1877.3",450.39
,,Ministry of Coal,Coal,13,"15863.74
15863.7",2879.66
,,Ministry of Mines,Construction,1,"255.37
255.37",85.90
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",10063.21
,,,Oil & Gas,10,"18910.65
19758.2",12019.34
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3577.42
,,,Shipping,2,"551.91
551.91",467.13
,,Ministry of Power,Electricity Generation,3,"20091.84
21644.6",3962.96
,,,Transmission & Distribution,2,"751.63
751.63",1.03
,,Ministry of Railways,Railways,16,"49558.46
60770.4",34805.18
,,Ministry of Steel,Steel,6,"6733.06
6733.06",756.54
,,,Total,61,134308.04,70283.82
