Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Real Estate,2,"3841.25
3841.25",590.15
,,Total,2,"3,841.25",590.15
2,Department of Higher Education,Education,29,"12467.21
12401.2",7908.95
,,Total,29,"12,467.21","7,908.95"
3,Department of Sports,Education,1,"906.47
611.74",553.38
,,Total,1,906.47,553.38
4,Department of Telecommunications,Telecommunication,15,"152734.45
274827",77354.9
,,Total,15,"152,734.45","77,354.90"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,39,"93740.23
193594",138530
,,Total,47,"97,779.35","140,173.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"23049.84
23511",24797.1
,,Total,26,"23,049.84","24,797.10"
7,Ministry of Coal,Coal,116,"157554.96
155011",48288.1
,,Electricity Generation,6,"50201.48
54744.6",25385.2
,,Railways,2,"3485.86
4250.56",1815.47
,,Total,124,"211,242.30","75,488.77"
8,Ministry of Health & Family Welfare,Healthcare,3,"4155
4492.95",2477.91
,,Total,3,"4,155.00","2,477.91"
9,Ministry of Housing & Urban Affairs,Construction,2,"1290.53
1290.52",633.46
,,Inland Waterways,1,"63246
63246",28779
,,Real Estate,4,"33749.85
33749.8",58.58
,,Urban Public Transport,22,"235216.87
255798",168648
,,Waste & Water,25,"6085.6
6085.6",38687.6
,,Total,54,"339,588.85","236,806.64"
10,Ministry of Labour and Employment,Healthcare,15,"3576.21
3818.61",3422.37
,,Total,15,"3,576.21","3,422.37"
11,Ministry of Mines,Construction,1,"255.37
255.37",85.9
,,Metals & Mining,9,"12736.35
15116.5",6356.85
,,Total,10,"12,991.72","6,442.75"
12,Ministry of Petroleum & Natural Gas,Energy Storage,16,"81301.48
120224",93188.6
,,Oil & Gas,86,"348775.78
377915",185369
,,Total,102,"430,077.26","278,557.60"
13,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",3710.31
,,Shipping,10,"16923.41
17089.9",10375
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",496.63
,,Total,14,"23,735.59","14,639.94"
14,Ministry of Power,Coal,2,"2083
2365",911.94
,,Electricity Generation,30,"223418.07
278208",136137
,,Transmission & Distribution,68,"150796.17
157311",59403.7
,,Total,100,"376,297.24","196,452.64"
15,Ministry of Railways,Railways,257,"839222.35
988283",536735
,,Total,257,"839,222.35","536,735.00"
16,Ministry of Steel,Metals & Mining,1,"1700
1756.2",133.22
,,Steel,20,"19266.64
22504.9",8653.34
,,Total,21,"20,966.64","8,786.56"
Total,,,820,"2,552,631.73","1,611,187.71"
