Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
27,Punjab,"Department of Water Resources, River
Development & GR",Water Resources,2,"3727.07
5177.86",5182.41
,,Ministry of Housing & Urban Affairs,Waste & Water,2,"545.53
545.53",2807.11
,,Ministry of Petroleum & Natural Gas,Oil & Gas,5,"12693.36
12693.4",8097.02
,,Ministry of Power,Transmission & Distribution,1,"5969
5969",485.87
,,Ministry of Railways,Railways,3,"15702.64
15703",9117.19
,,,Total,15,39196.9,25979.99
28,Rajasthan,Department of Telecommunications,Telecommunication,2,"758.54
530.07",369.83
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,"1367
1367",696.69
,,Ministry of Coal,Electricity Generation,1,"1813
1813",1167.40
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"52618.05
88948.1",69364.07
,,,Oil & Gas,2,"10599
10599",6656.41
,,Ministry of Power,Electricity Generation,1,"5491.89
5491.89",5084.68
,,,Transmission & Distribution,22,"53646.51
54198.2",19895.80
,,Ministry of Railways,Railways,23,"88639.51
164210",140285.65
,,,Total,56,214933.5,243520.53
29,Sikkim,Department of Higher Education,Education,2,"999.82
924.82",359.78
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"323.26
323.26",38.69
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6603.95
,,Ministry of Power,Electricity Generation,2,"6686.33
7576.15",5273.06
,,,Transmission & Distribution,1,"4754.42
9129.32",7705.14
,,Ministry of Railways,Railways,1,"7877
12133",9039.91
,,,Total,8,29905.83,29020.53
30,Tamil Nadu,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1207
1207",183.02
,,Ministry of Coal,Electricity Generation,1,"218.03
218.03",164.70
,,Ministry of Housing & Urban Affairs,Inland Waterways,1,"63246
63246",28778.98
,,Ministry of Labour and Employment,Healthcare,1,"152.95
152.95",107.83
,,Ministry of Mines,Metals & Mining,1,"166
166",135.00
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"2334
3448.71",1767.45
,,,Oil & Gas,4,"38385
46153",6149.73
,,Ministry of Power,Transmission & Distribution,1,"548
548",37.86
,,Ministry of Railways,Railways,7,"8370.7
11490.2",5856.10
,,,Total,20,114627.68,43180.67
31,Telangana,Department of Higher Education,Education,1,"262
262",186.49
,,Department of Telecommunications,Telecommunication,3,"3923.59
3923.59",866.62
,,"Department of Water Resources, River
Development & GR",Water Resources,4,"11670.14
24129.6",11936.34
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",332.26
,,Ministry of Coal,Coal,9,"3890.03
3890.03",2513.80
,,Ministry of Health & Family Welfare,Healthcare,1,"1028
1365.95",806.80
,,Ministry of Housing & Urban Affairs,Construction,1,"644
644",87.60
,,Ministry of Labour and Employment,Healthcare,1,"211.13
211.13",198.95
,,Ministry of Power,Transmission & Distribution,2,"5694.56
5694.56",4808.49
,,Ministry of Railways,Railways,11,"19213.75
22977.8",10959.90
,,,Total,34,47037.68,32697.25
32,Tripura,Ministry of Petroleum & Natural Gas,Energy Storage,1,"656
656",509.92
,,,Oil & Gas,2,"9474.33
9396.51",6674.05
