Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department of Sports,,,,
,Education,,,,
1,"National Sports University [NSU], Imphal [Manipur]
(Department of Sports & Youth Affairs)
(400081)",Manipur,(01/2022),"08/2024
(11/2025)","906.47
(611.74)"
,Total (1),,,,906.47
,Ministry of Coal,,,,
,Electricity Generation,,,,
2,"600 MW Khavda Solar Power Project
(NLC India Limited [NLCIL])
(617730)",Gujarat,"08/2023
(06/2024)","06/2026
(-)","3335.85
(-)"
,Total (1),,,,3335.85
,Ministry of Labour and Employment,,,,
,Healthcare,,,,
3,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar,
Visakhapatnam, Andhra Pradesh
(Employee's State Insurance Company [ESIC])
(612167)",Andhra Pradesh,"02/2021
(04/2023)","10/2025
(01/2026)","384.27
(-)"
4,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(10/2025)","143.23
(154.75)"
5,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds
to 150 beds.
(Employee's State Insurance Company [ESIC])
(612211)",Gujarat,"08/2022
(10/2023)","10/2025
(06/2026)","205.87
(-)"
6,"C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at Surat
Gujarat.
(Employee's State Insurance Company [ESIC])
(612185)",Gujarat,"06/2019
(03/2021)","06/2025
(05/2025)","209.36
(-)"
7,"350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand
(Employee's State Insurance Company [ESIC])
(612186)",Gujarat,"06/2022
(04/2023)","03/2026
(02/2026)","558.12
(-)"
8,"Construction of 100 bedded ESIC Hospital & 32 nos. of Staff qtrs at OMPURA J&K.
(Employee's State Insurance Company [ESIC])
(612239)",Jammu and Kashmir,"09/2019
(12/2021)","09/2024
(05/2025)","131.05
(164.93)"
9,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka
(Employee's State Insurance Company [ESIC])
(612745)",Karnataka,"02/2015
(10/2024)","01/2027
(-)","278
(-)"
10,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli,
Karnataka
(Employee's State Insurance Company [ESIC])
(612748)",Karnataka,"07/2019
(03/2025)","02/2027
(-)","150.92
(-)"
11,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST]
ESIC Hospital at Bibewadi, Pune
(Employee's State Insurance Company [ESIC])
(612188)",Maharashtra,"05/2018
(03/2023)","09/2025
(02/2026)","429.25
(-)"
12,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.
(Employee's State Insurance Company [ESIC])
(612213)",Maharashtra,"10/2013
(08/2022)","08/2025
(08/2025)","194.93
(196.7)"
13,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff
Housing for ESIC Hospital at Andheri, Mumbai
(Employee's State Insurance Company [ESIC])
(616691)",Maharashtra,(06/2009),"08/2025
(12/2025)","260.13
(-)"
14,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.
(Employee's State Insurance Company [ESIC])
(612513)",Odisha,"12/2010
(02/2025)","06/2027
(-)","164.6
(-)"
15,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters at
Vallam Vadangal, SIPCOT, Sriperumbudur
(Employee's State Insurance Company [ESIC])
(612178)",Tamil Nadu,"02/2015
(03/2023)","06/2025
(-)","152.95
(-)"
16,"Construction of New OPD Block 200 Bed ward Basement + GF + 6 Floors at the
location of old OPD block, at existing ESIC Hospital/ Medical college campus,
Sanathnagar, Hyderabad
(Employee's State Insurance Company [ESIC])
(612688)",Telangana,"11/2017
(10/2021)","06/2024
(06/2025)","211.13
(-)"
17,"CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR
(Employee's State Insurance Company [ESIC])
(612259)",Uttarakhand,"02/2021
(12/2021)","10/2024
(06/2025)","102.4
(297.63)"
,Total (15),,,,3576.21
,"Ministry of Ports, Shipping and Waterways",,,,
,Shipping,,,,
18,"Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT
basis - Phase II
(New Mangalore Port Authority)
(617804)",Karnataka,(06/2024),"03/2027
(-)","153.23
(-)"
,Total (1),,,,153.23
,Ministry of Power,,,,
,Transmission & Distribution,,,,
19,"Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS
(Power Grid Corporation of India Limited [POWERGRID])
(617801)",Gujarat,"03/2025
(03/2025)","12/2026
(03/2027)","581.74
(-)"
20,"Transmission System Strengthening at Davanagere for Integration of RE Generation
[SPV Name - POWERGRID Davanagere Power Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617803)",Karnataka,"09/2025
(09/2025)","09/2027
(-)","379
(-)"
