Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Water Resources,,,,,,
782,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)",Andhra Pradesh,"04/2005
(01/2006)","12/2019
(06/2026)","353.05
(1023.24)",869.11,95
783,"Gundlakamma project
(Water Resources-AP)
(400101)",Andhra Pradesh,"04/2005
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",619.09,98
784,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)",Andhra Pradesh,"01/2009
(11/2009)","04/2022
(03/2026)","10151.04
(55548.9)",24837.97,84
785,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
786,"Punpun Barrage Project
(Water Resources-BR)
(400104)",Bihar,"04/2007
(04/2007)","12/2019
(03/2026)","571.07
(658.12)",447.68,44
787,"Kelo Irrigation Project
(Water Resources-CT)
(400111)",Chhattisgarh,"04/2008
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",616.93,72
788,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)",Chhattisgarh,"04/2009
(12/2009)","12/2025
(-)","382.29
(382.29)",239.03,86
789,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)",Gujarat,"04/2017
(04/2017)","12/2019
(03/2026)","5021.76
(6670.31)",4954.99,90
790,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.5)",31860.86,93
791,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",5790.29,70
792,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.32,99
793,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)",Madhya Pradesh,"04/2017
(04/2017)","12/2019
(03/2026)","648.09
(648.09)",172.56,3
794,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)",Madhya Pradesh,"04/2008
(01/2009)","12/2019
(03/2026)","751.03
(893.35)",783.1,75
795,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)",Madhya Pradesh,"04/2007
(04/2007)","12/2019
(03/2026)","1229.15
(1399.7)",1937.25,80
796,"Gosikhurd CADWM Project
(Department of water resources-MH - II)
(400095)",Maharashtra,"04/2017
(04/2017)","12/2019
(06/2026)","743.73
(743.73)",295.12,52
797,"Urmodi Irrigation Project
(Department of water resources-MH - II)
(400105)",Maharashtra,"04/2017
(04/2018)","06/2022
(12/2026)","580.79
(895.81)",713.46,76
798,"Sulwade-Jamphal-Kanoli Lift Irrigation Scheme
(Department of water resources-MH - II)
(400107)",Maharashtra,"04/2017
(02/2019)","06/2023
(06/2027)","2407.67
(2407.67)",2570.94,80
799,"Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project
(Department of water resources-MH - II)
(400109)",Maharashtra,"04/2017
(04/2018)","06/2020
(06/2026)","848.07
(888.43)",690.49,69
800,"Jigaon Irrigation Project
(Department of water resources-MH - II)
(400112)",Maharashtra,"04/2017
(04/2018)","06/2028
(-)","7222.95
(7222.95)",8722.81,90
801,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(1923.81)",1770.13,49
802,"Waghur Project
(Department of water resources-MH - II)
(701383)",Maharashtra,"04/1996
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1557.45,89
803,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.1)",13765.22,72
804,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)",Maharashtra,"04/2009
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1697.94,97
805,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1324.98,65
806,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)",Maharashtra,"04/2009
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",623.5,72
807,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
