Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Real Estate,2,"3841.25
3841.25",587.67
,,Total,2,"3,841.25",587.67
2,Department of Higher Education,Education,29,"12467.21
12401.2",7891.19
,,Total,29,"12,467.21","7,891.19"
3,Department of Telecommunications,Telecommunication,15,"152734.45
274827",72372.8
,,Total,15,"152,734.45","72,372.80"
4,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,39,"93740.23
193594",137306
,,Total,47,"97,779.35","138,949.05"
5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"23049.84
23511",24583.3
,,Total,26,"23,049.84","24,583.30"
6,Ministry of Coal,Coal,118,"172747.29
170203",55557.5
,,Electricity Generation,5,"46865.63
51408.8",24531
,,Railways,2,"3485.86
4250.56",1812.56
,,Total,125,"223,098.78","81,901.06"
7,Ministry of Health & Family Welfare,Healthcare,3,"4155
4492.95",2736.65
,,Total,3,"4,155.00","2,736.65"
8,Ministry of Housing & Urban Affairs,Construction,2,"1290.53
1290.52",627.64
,,Inland Waterways,1,"63246
63246",27456.4
,,Real Estate,4,"33749.85
33749.8",58.58
,,Urban Public Transport,22,"235216.87
255798",167263
,,Waste & Water,25,"6085.6
6085.6",33199.3
,,Total,54,"339,588.85","228,604.92"
9,Ministry of Mines,Construction,1,"255.37
255.37",83.03
,,Metals & Mining,9,"12736.35
15116.5",6257.96
,,Total,10,"12,991.72","6,340.99"
10,Ministry of Petroleum & Natural Gas,Energy Storage,16,"81301.48
120224",91358.6
,,Oil & Gas,88,"349335.78
378387",182742
,,Total,104,"430,637.26","274,100.60"
11,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",3671.92
,,Logistics Infrastructure,1,"171
211.61",137.51
,,Oil & Gas,1,"100
225.85",166.48
,,Shipping,7,"16499.18
16499.2",9272.35
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",496.63
,,Total,13,"23,582.36","13,802.89"
12,Ministry of Power,Coal,2,"2083
2365",911.38
,,Electricity Generation,30,"223418.07
278228",136109
,,Transmission & Distribution,65,"149516.43
156031",57066.7
,,Total,97,"375,017.50","194,087.08"
13,Ministry of Railways,Railways,248,"813211.77
961590",531351
,,Total,248,"813,211.77","531,351.00"
14,Ministry of Steel,Metals & Mining,1,"1700
1756.2",124.9
,,Steel,20,"19266.64
22504.9",8277.97
,,Total,21,"20,966.64","8,402.87"
Total,,,794,"2,533,121.98","1,585,712.07"
