Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,,Ministry of Steel,Steel,1,"2518.39
2518.39",62.72
,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,6,"19714.58
22972.8",11337.22
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"177
197",183.32
,,Ministry of Railways,Railways,2,"150819
150819",2520.51
,PAN India,Department of Telecommunications,Telecommunication,6,"141891.67
264213",69279.89
,,,Total,16,315120.64,83383.66
2,Andaman & Nicobar,Ministry of Housing & Urban Affairs,Real Estate,1,"209.88
209.88",0.00
,,,Total,1,209.88,0.00
3,Andhra Pradesh,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"2139.44
2139.44",470.66
,,Department of Higher Education,Education,1,"305
305",84.96
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",1835.32
,,"Department of Water Resources, River
Development & GR",Water Resources,3,"10901.5
57269.5",26234.12
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"1224.86
1224.86",648.97
,,Ministry of Housing & Urban Affairs,Waste & Water,1,"172.22
172.22",710.62
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"2898.34
3050",2322.55
,,,Oil & Gas,5,"37997
38057",33508.26
,,Ministry of Power,Transmission & Distribution,5,"13395.24
13395.2",4708.73
,,Ministry of Railways,Railways,23,"48181.47
55406.5",32751.48
,,,Total,47,124362.24,103275.67
4,Arunachal Pradesh,Department of Higher Education,Education,1,"592.61
592.61",550.22
,,Department of Telecommunications,Telecommunication,1,"1255.49
1255.49",284.04
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"43129
79459",60545.24
,,,Oil & Gas,1,"9265
9265",6426.54
,,Ministry of Power,Electricity Generation,4,"41850.64
61640.8",28863.93
,,,Transmission & Distribution,2,"4963.8
9338.7",7598.35
,,Ministry of Railways,Railways,1,"435
1250",540.27
,,,Total,11,101491.54,104808.59
5,Assam,Department of Higher Education,Education,1,"153.71
153.71",124.33
,,Department of Telecommunications,Telecommunication,1,"1255.49
1255.49",284.04
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"256.16
256.16",44.70
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1712
1712",2397.37
,,Ministry of Coal,Coal,2,"449.23
449.23",187.07
,,Ministry of Housing & Urban Affairs,Waste & Water,1,"186.8
186.8",1477.98
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"10768.4
11947.4",9999.53
,,,Oil & Gas,12,"26269.15
36624",26216.72
,,Ministry of Power,Electricity Generation,1,"6285.33
26075.5",25058.77
,,,Transmission & Distribution,1,"5111.33
6700",5295.68
,,Ministry of Railways,Railways,7,"14593.57
16308.6",10171.81
,,,Total,31,67041.17,81258.00
6,Bihar,Department of Higher Education,Education,1,"499.21
499.21",434.67
,,Department of Telecommunications,Telecommunication,4,"4220.71
3992.24",1062.37
,,"Department of Water Resources, River
Development & GR",Waste & Water,5,"2351.43
2351.43",1303.45
,,,Water Resources,2,"2193.34
3088.88",598.72
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"3541.56
3541.56",1310.96
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"13365.77
13365.8",4039.77
,,,Waste & Water,1,"158.78
158.78",509.50
