Sl. No.,State,Projects,"Cost Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,ANDAMAN AND NICOBAR ISLANDS,10,"2,956.02
(3,029.18)
{3,010.04}","1,817.30"
2,ANDHRA PRADESH,107,"139,913.14
(140,412.47)
{188,264.34}","1,04,918.01"
3,ARUNACHAL PRADESH,17,"46,277.92
(46,427.82)
{66,154.50}","31,192.12"
4,ASSAM,70,"73,019.37
(73,503.24)
{80,974.64}","51,299.26"
5,BIHAR,95,"134,228.62
(146,243.18)
{158,856.89}","1,03,365.01"
6,CHHATTISGARH,54,"76,728.88
(80,618.31)
{81,093.37}","36,942.43"
7,DELHI,21,"90,609.18
(96,063.03)
{94,869.54}","76,898.76"
8,GOA,3,"1,201.05
(1,201.05)
{1,287.55}",485.92
9,GUJARAT,95,"172,756.48
(180,000.53)
{181,454.95}","93,756.29"
10,HARYANA,29,"67,288.90
(78,084.81)
{78,136.40}","41,872.43"
11,HIMACHAL PRADESH,31,"41,877.88
(42,907.56)
{51,017.13}","33,014.11"
12,JAMMU AND KASHMIR,55,"112,603.25
(113,914.62)
{126,963.34}","79,819.42"
13,JHARKHAND,64,"113,658.99
(117,419.60)
{116,571.41}","67,421.35"
14,KARNATAKA,85,"109,875.96
(111,585.92)
{110,313.91}","53,826.52"
15,KERALA,32,"64,106.75
(69,729.34)
{70,321.90}","36,735.08"
16,LADAKH,6,"2,474.97
(2,634.64)
{2,634.64}","1,349.63"
