source_file,source_path,reporting_period,extraction_method,page_count,extraction_status,checksum,file_size_bytes,notes
FRApril2025.pdf,REPORTS 25\FRApril2025.pdf,2025-04,pending,,pending,58049244170b9d8c0588ccf660e79e7b56bfc7e60a333f784e6e08392cf81eef,10264807,
FR_JUNE_2025.pdf,REPORTS 25\FR_JUNE_2025.pdf,2025-06,pending,,pending,7f37c63abe9f92d8db6513ad68d91b5c172c9c27454f45691f53fff7ebb2a754,14003041,
FR_May2025.pdf,REPORTS 25\FR_May2025.pdf,2025-05,pending,,pending,1326fc47d272e8f2225db45645bd1dd4eacee1ab4a15bff8a1f6edfc70b45171,9995553,
FlashReport_April2026.pdf,REPORTS 26\FlashReport_April2026.pdf,2026-04,pending,,pending,90a6959e976da6928440efdea9c68847d1178356e4c0ebd078c51026ddb118d5,3215216,
FlashReport_August_2025.pdf,REPORTS 25\FlashReport_August_2025.pdf,2025-08,pending,,pending,7b28c68ca1fd697f2856fa4b5c79b5c26fa6e8f0be4d0897cc105958e01bf2c8,5791675,
FlashReport_December_2025.pdf,REPORTS 25\FlashReport_December_2025.pdf,2025-12,pending,,pending,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,6398361,
FlashReport_February_2026.pdf,REPORTS 25\FlashReport_February_2026.pdf,2026-02,pending,,pending,f29010c2d69ca185c8f36e6d8539d460b4ebe81753994dd21fbe63e057817df9,6738453,
FlashReport_January_2026.pdf,REPORTS 25\FlashReport_January_2026.pdf,2026-01,pending,,pending,9c043ad4a0acb01dd6f00fe2dbca60f812ffa981daa5143b24f7c5ec37f64c83,6544662,
FlashReport_July_2025.pdf,REPORTS 25\FlashReport_July_2025.pdf,2025-07,pending,,pending,1064c963c8afacf903ad9cc876fa3615c4b4b28ccdae920a8ff392af37111508,5823487,
FlashReport_July_2026.pdf,REPORTS 26\FlashReport_July_2026.pdf,2026-07,pending,,pending,dcf52cea3b2ed6f97a49739af833f877c2afb55f61d5c43cb162f97ef6f3a9f3,6451056,
FlashReport_June_2026.pdf,REPORTS 26\FlashReport_June_2026.pdf,2026-06,pending,,pending,d26872ac9336b451d311e823646560d29d8a6c2fbc9fdca9fd78fc22fd08ca15,6540236,
FlashReport_March_2026.pdf,REPORTS 25\FlashReport_March_2026.pdf,2026-03,pending,,pending,e10411522bbc6caec5f3ef143c8399ad71221ac232e19410c1dfe87eb5c90253,6827436,
FlashReport_May2026.pdf,REPORTS 26\FlashReport_May2026.pdf,2026-05,pending,,pending,480d98632cd1b1d4fe70b58a5a753924b2735b0135e7c8507c1ec05ff2ddf005,3217996,
FlashReport_November_2025.pdf,REPORTS 25\FlashReport_November_2025.pdf,2025-11,pending,,pending,db9e2eff8a2ecc21285280fd85dfbb4df9ef99cbda74987ccd4a3edcbff28eb9,5845019,
FlashReport_October_2025.pdf,REPORTS 25\FlashReport_October_2025.pdf,2025-10,pending,,pending,4817bb54e983b63233e4538fb2e7adf80c6204a2a976021a71d126e9003edbc3,5928547,
FlashReport_September_2025.pdf,REPORTS 25\FlashReport_September_2025.pdf,2025-09,pending,,pending,520f100f2752c07c7d8e1180cce2258a6966d21b6e37fcbecca0b098835ef318,6007329,
QPISR_QR_1st_2025-26 (1).pdf,REPORTS 25\QPISR_QR_1st_2025-26 (1).pdf,2025-Q1,pending,,pending,5363459134f4c8438c63b09a5487325d873d2310a9492a9fdf626657773bf640,7285075,
