canonical_field,source_field,datatype,missing_count,missing_rate,unique_count,sample_values
agency,agency,text,1462,6.45%,3434,"NHIDCL N24002025) (-, NHIDCL N24001419) (-, NHIDCL N24001971) (10273"
approval_date,approval_date,text,1491,6.58%,266,"01/2023, 03/2023, 12/2023"
cumulative_expenditure_crore,cumulative_expenditure_crore,numeric,946,4.17%,11609,"0.0, 217.2, 569.61"
extraction_timestamp,extraction_timestamp,text,0,0.00%,22662,"2026-08-28T21:13:47.906750, 2026-08-28T21:13:47.907105, 2026-08-28T21:13:47.907333"
ministry,ministry,text,17452,77.01%,36,"PROJECT ID, Department of Telecommunications, Department of Water Resources, River Development & GR"
original_completion_date,original_completion_date,text,1486,6.56%,202,"12/2026, 05/2025, 08/2025"
original_cost_crore,original_cost_crore,numeric,2,0.01%,2845,"356.65, 458.59, 890.33"
physical_progress_pct,physical_progress_pct,numeric,2457,10.84%,2971,"20.45, 83.39, 81.9"
project_code,project_code,text,1721,7.59%,2241,"618339, 618340, 618351"
project_id,project_id,text,0,0.00%,2636,"PC-618339, PC-618340, PC-618351"
project_name,project_name,text,5,0.02%,2894,"Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4, Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3, Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10"
reporting_month,reporting_month,text,0,0.00%,13,"2026-04, 2025-08, 2025-12"
revised_completion_date,revised_completion_date,text,8088,35.69%,158,"07/2026, 06/2026, 11/2026"
revised_cost_crore,revised_cost_crore,numeric,1423,6.28%,2517,"356.65, 458.59, 693.15"
sector,sector,text,19051,84.07%,32,"Telecommunication, Waste & Water, Water Resources"
source_file,source_file,text,0,0.00%,1311,"FlashReport_April2026_page100_table0.csv, FlashReport_April2026_page101_table0.csv, FlashReport_April2026_page102_table0.csv"
source_page,source_page,numeric,0,0.00%,157,"100, 101, 102"
state,state,text,7,0.03%,256,"Assam, Bihar, Chhattisgarh"
