model,metric,value
naive,precision,1.0000
naive,recall,1.0000
naive,f1,1.0000
naive,roc_auc,0.5000
naive,pr_auc,1.0000
naive,brier,0.0000
sector_average,precision,1.0000
sector_average,recall,0.7702
sector_average,f1,0.8375
sector_average,roc_auc,0.5000
sector_average,pr_auc,1.0000
sector_average,brier,0.2298
logistic_regression,precision,1.0000
logistic_regression,recall,1.0000
logistic_regression,f1,1.0000
logistic_regression,roc_auc,0.5000
logistic_regression,pr_auc,1.0000
logistic_regression,brier,0.1302
linear_regression,mae,1.4757
linear_regression,rmse,1.7928
linear_regression,r2,0.0000
