project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp,historical_obs_count,avg_progress_historical,progress_trend,cost_increase_rate,target_next_progress,target_next_expenditure,target_progress_change
709859,13,2025-07,SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE [NICF] AT GHITORNI,National Communication Academy - Finance (Erstwhile NICF,709859,Department for Promotion of Industry & Internal Trade,Telecommunication,Delhi,04/2018,02/2020,,248.2,248.2,236.91,98.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874122,0,,,,98.0,236.91,0.0
701598,26,2025-07,Provision of 4G based Mobile Services in Uncovered Villages and National Highways of Meghalaya,Department of Telecommunications [DoT],701598,Department of Telecommunications,Telecommunication,Meghalaya,09/2020,03/2022,,971.96,971.96,208.25,98.0,FlashReport_July_2025_page35_table1.csv,35,2026-08-28T21:13:50.690965,0,,,,99.0,208.25,1.0
701599,13,2025-07,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,Department of Telecommunications [DoT],701599,Department for Promotion of Industry & Internal Trade,Telecommunication,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",09/2021,03/2023,,1577.57,1577.57,596.17,87.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874298,0,,,,87.0,598.31,0.0
701602,13,2025-07,"Provision of 4G based mobile services in 7,287 uncovered villages of 44 Aspirational District across 5 states of Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra & Odisha",Department of Telecommunications [DoT],701602,Department for Promotion of Industry & Internal Trade,Telecommunication,"Multi-States (Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra, Odisha)",05/2022,11/2023,,3685.0,3685.0,1101.39,79.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874401,0,,,,79.0,1101.44,0.0
701597,26,2025-07,Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and 2 Districts of Assam,Department of Telecommunications [DoT],701597,Department of Telecommunications,Telecommunication,"Multi-States (Assam, Arunachal Pradesh)",10/2021,04/2023,,1255.49,1255.49,284.04,89.0,FlashReport_July_2025_page35_table1.csv,35,2026-08-28T21:13:50.691122,0,,,,89.0,284.04,0.0
701597,26,2025-07,Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and 2 Districts of Assam,Department of Telecommunications [DoT],701597,Department for Promotion of Industry & Internal Trade,Telecommunication,"Multi-States (Arunachal Pradesh, Assam)",10/2021,04/2023,,1255.49,1255.49,284.04,89.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874488,0,,,,89.0,284.04,0.0
704495,13,2025-07,"502 Aspirational District Scheme in Four states - Bihar, Madhya Pradesh, Rajastha and Uttar Pradesh",Department of Telecommunications [DoT],704495,Department for Promotion of Industry & Internal Trade,Telecommunication,"Multi-States (Bihar, Madhya Pradesh, Rajasthan, Uttar Pradesh)",03/2021,03/2022,,421.65,228.94,126.45,96.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874688,0,,,,96.0,134.08,0.0
701370,25,2025-07,Borolia Irrigation Project,"Department of Water Resources, River Development & GR",701370,Department of Telecommunications,Water Resources,Assam,12/1996,12/2022,,256.16,256.16,0.0,0.0,FlashReport_July_2025_page35_table1.csv,35,2026-08-28T21:13:50.691335,0,,,,55.0,0.0,55.0
701377,13,2025-07,Upper Tunga Irrigation Project,Water Resources-KA,701377,,,Karnataka,04/2014,12/2019,,770.16,1606.07,1511.22,99.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878523,0,,,,99.0,1511.22,0.0
400096,10,2025-07,Omkareshwar CADWM Project,Water resource-mp,400096,,,Madhya Pradesh,04/2015,12/2019,,648.09,648.09,172.56,3.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878617,0,,,,3.0,172.56,0.0
400115,13,2025-07,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources-MP,400115,,,Madhya Pradesh,01/2009,12/2019,,751.03,893.35,777.99,74.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878697,0,,,,75.0,746.19,1.0
400116,13,2025-07,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,400116,,,Madhya Pradesh,04/2007,12/2019,,1229.15,1399.7,1807.2,79.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878773,0,,,,79.0,1807.2,0.0
400095,10,2025-07,Gosikhurd CADWM Project,Department of water resources-MH - II,400095,,,Maharashtra,04/2017,12/2019,,743.73,743.73,252.0,50.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878846,0,,,,50.0,252.0,0.0
400105,10,2025-07,Urmodi Irrigation Project,Department of water resources-MH - II,400105,,,Maharashtra,04/2018,06/2022,,580.79,895.81,713.46,76.22,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878917,0,,,,76.0,713.46,-0.21999999999999886
400107,10,2025-07,Sulwade-Jamphal-Kanoli Lift Irrigation Scheme,Department of water resources-MH - II,400107,,,Maharashtra,02/2019,06/2023,,2407.67,2407.67,2436.43,80.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.878992,0,,,,80.0,2436.43,0.0
400109,10,2025-07,Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project,Department of water resources-MH - II,400109,,,Maharashtra,04/2018,06/2020,,848.07,888.43,690.49,69.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879066,0,,,,69.0,690.49,0.0
400112,10,2025-07,Jigaon Irrigation Project,Department of water resources-MH - II,400112,,,Maharashtra,04/2018,06/2028,,7222.95,7222.95,8501.45,90.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879137,0,,,,90.0,8501.45,0.0
701383,13,2025-07,Waghur Project,Department of water resources-MH - II,701383,,,Maharashtra,04/1996,12/2019,,1058.99,1758.51,1530.36,89.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879207,0,,,,89.0,1530.45,0.0
701386,13,2025-07,Gosikhurd Project,Department of water resources-MH - II,701386,,,Maharashtra,04/2008,12/2019,,7196.47,12770.1,13533.29,72.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879345,0,,,,72.0,13533.29,0.0
701391,13,2025-07,Aruna Medium Irrigation Project,Department of water resources-MH - II,701391,,,Maharashtra,01/2010,12/2019,,210.45,1472.14,1697.94,97.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879555,0,,,,97.0,1697.94,0.0
701396,13,2025-07,Lower Pedhi Project,Department of water resources-MH - II,701396,,,Maharashtra,04/2008,12/2019,,255.97,1480.7,1324.78,64.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879695,0,,,,64.0,1324.78,0.0
701398,13,2025-07,Nardave Medium Irrigation Project,Department of water resources-MH - II,701398,,,Maharashtra,04/2009,12/2019,,211.46,781.85,623.5,72.59,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879766,0,,,,72.0,623.5,-0.5900000000000034
