project_id,reporting_month,sector,state,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,future_3m_cost_revision,future_6m_cost_revision,future_3m_progress_stall,future_6m_progress_stall
618339,2025-12,,Assam,356.65,356.65,0.0,20.0,0,0,1,1
618339,2026-01,,Assam,356.65,356.65,0.0,20.0,0,0,1,1
618339,2026-02,,Assam,356.65,356.65,0.0,20.0,0,0,1,1
618339,2026-03,,Assam,356.65,356.65,0.0,20.45,0,0,1,1
618339,2026-04,,Assam,356.65,356.65,0.0,20.45,0,0,1,1
618339,2026-05,,Assam,356.65,356.65,0.0,20.45,0,0,1,1
618340,2025-12,,Assam,458.59,458.59,0.0,68.0,0,0,0,0
618340,2026-01,,Assam,458.59,458.59,0.0,68.0,0,0,0,0
618340,2026-02,,Assam,458.59,458.59,210.94,80.0,0,0,1,1
618340,2026-03,,Assam,458.59,458.59,217.2,83.29,0,0,1,1
618340,2026-04,,Assam,458.59,458.59,217.2,83.39,0,0,1,1
618340,2026-05,,Assam,458.59,458.59,236.85,85.15,0,0,1,1
618340,2026-06,,Assam,458.59,458.59,249.84,88.99,0,0,1,1
618351,2025-12,,Assam,890.33,693.15,0.0,0.0,0,0,0,0
618351,2026-01,,Assam,890.33,693.15,528.84,79.0,0,0,1,1
618351,2026-02,,Assam,890.33,693.15,551.37,81.0,0,0,0,1
618351,2026-03,,Assam,890.33,693.15,569.61,81.9,0,0,0,1
618351,2026-04,,Assam,890.33,693.15,569.61,81.9,0,0,0,0
618351,2026-05,,Assam,890.33,693.15,588.02,90.5,0,0,1,1
618351,2026-06,,Assam,890.33,693.15,604.86,90.5,0,0,1,1
618352,2025-12,,Assam,860.37,614.43,0.0,0.0,0,0,0,0
618352,2025-12,,Assam,860.37,614.43,0.0,0.0,0,0,0,0
618352,2026-01,,Assam,860.37,614.43,470.53,85.0,0,0,1,1
618352,2026-01,,Assam,860.37,614.43,470.53,85.0,0,0,1,1
618352,2026-02,,Assam,860.37,614.43,505.73,87.0,0,0,1,1
618352,2026-02,,Assam,860.37,614.43,505.73,87.0,0,0,1,1
618352,2026-03,,Assam,860.37,614.43,528.46,87.5,0,0,1,1
618352,2026-03,,Assam,860.37,614.43,528.46,87.5,0,0,1,1
618352,2026-04,,Assam,860.37,614.43,528.46,87.5,0,0,1,1
618352,2026-04,,Assam,860.37,614.43,528.46,87.5,0,0,1,1
618352,2026-05,,Assam,860.37,614.43,545.83,87.5,0,0,1,1
618352,2026-05,,Assam,860.37,614.43,545.83,87.5,0,0,1,1
618352,2026-06,,Assam,860.37,614.43,559.69,87.5,0,0,1,1
618352,2026-06,,Assam,860.37,614.43,559.69,87.5,0,0,1,1
618352,2026-07,,Assam,860.37,614.43,559.51,87.5,0,0,1,1
618353,2025-12,,Assam,904.04,904.04,0.0,0.0,0,0,0,0
618353,2026-01,,Assam,904.04,904.04,470.46,82.0,0,0,1,1
618353,2026-03,,Assam,904.04,904.04,520.05,85.2,0,0,1,1
618353,2026-04,,Assam,904.04,904.04,520.05,85.2,0,0,1,1
618353,2026-05,,Assam,904.04,904.04,538.33,85.2,0,0,1,1
618353,2026-06,,Assam,904.04,904.04,557.37,85.2,0,0,1,1
618354,2025-12,,Assam,846.82,846.82,0.0,71.0,0,0,0,0
618354,2026-01,,Assam,846.82,846.82,0.0,71.0,0,0,0,0
618354,2026-02,,Assam,846.82,846.82,0.0,71.0,0,0,0,0
618354,2026-03,,Assam,846.82,846.82,0.0,85.29,0,0,1,1
618354,2026-04,,Assam,846.82,846.82,0.0,85.29,0,0,1,1
618354,2026-05,,Assam,846.82,846.82,0.0,85.29,0,0,1,1
618354,2026-06,,Assam,846.82,846.82,0.0,90.36,0,0,1,1
618371,2025-12,,Assam,613.89,613.89,0.0,43.0,0,0,0,0
618371,2026-01,,Assam,613.89,613.89,172.31,56.0,0,0,0,0
618371,2026-02,,Assam,613.89,613.89,205.64,56.0,0,0,0,0
618371,2026-03,,Assam,613.89,613.89,260.02,77.66,0,0,0,0
618371,2026-04,,Assam,613.89,613.89,260.02,78.09,0,0,0,0
618371,2026-05,,Assam,613.89,613.89,260.02,84.98,0,0,1,1
618371,2026-06,,Assam,613.89,613.89,384.24,89.5,0,0,1,1
618372,2025-12,,Assam,909.02,909.02,0.0,100.0,0,0,1,1
618372,2026-01,,Assam,909.02,909.02,0.0,100.0,0,0,1,1
618372,2026-02,,Assam,909.02,909.02,637.69,100.0,0,0,1,1
618372,2026-03,,Assam,909.02,909.02,638.5,100.0,0,0,1,1
618372,2026-04,,Assam,909.02,909.02,638.5,100.0,0,0,1,1
618373,2025-12,,Assam,4997.04,4997.04,0.0,67.0,0,0,1,1
618373,2026-01,,Assam,4997.04,4997.04,2556.61,70.0,0,0,1,1
618373,2026-02,,Assam,4997.04,4997.04,2681.39,72.0,0,0,1,1
618373,2026-03,,Assam,4997.04,4997.04,2808.4,73.81,0,0,1,1
618373,2026-04,,Assam,4997.04,4997.04,2808.4,74.36,0,0,1,1
618373,2026-05,,Assam,4997.04,4997.04,2837.17,76.01,0,0,1,1
618373,2026-06,,Assam,4997.04,4997.04,3033.59,77.14,0,0,1,1
618435,2025-12,,Assam,386.51,386.51,0.0,0.0,0,0,0,0
618435,2026-01,,Assam,386.51,386.51,0.0,0.0,0,0,0,0
618435,2026-02,,Assam,386.51,386.51,351.77,95.0,0,0,1,1
618435,2026-03,,Assam,386.51,386.51,352.16,97.13,0,0,1,1
618435,2026-04,,Assam,386.51,386.51,352.16,97.13,0,0,1,1
618435,2026-05,,Assam,386.51,386.51,352.16,97.13,0,0,1,1
618436,2025-12,,Assam,599.0,599.0,0.0,0.0,0,0,0,0
618436,2026-01,,Assam,599.0,599.0,404.62,100.0,0,0,1,1
618436,2026-02,,Assam,599.0,599.0,404.9,100.0,0,0,1,1
618436,2026-03,,Assam,599.0,599.0,405.02,100.0,0,0,1,1
618436,2026-04,,Assam,599.0,599.0,405.02,100.0,0,0,1,1
618436,2026-05,,Assam,599.0,599.0,405.1,100.0,0,0,1,1
618436,2026-06,,Assam,599.0,599.0,434.89,100.0,0,0,1,1
618437,2025-12,,Assam,274.34,274.34,0.0,100.0,0,0,1,1
618437,2025-12,,Assam,274.34,274.34,0.0,100.0,0,0,1,1
618437,2026-01,,Assam,274.34,274.34,0.0,100.0,0,0,1,1
618437,2026-01,,Assam,274.34,274.34,0.0,100.0,0,0,1,1
618437,2026-02,,Assam,274.34,274.34,0.0,100.0,0,0,1,1
618437,2026-02,,Assam,274.34,274.34,0.0,100.0,0,0,1,1
618437,2026-03,,Assam,274.34,274.34,90.6,100.0,0,0,1,1
618437,2026-03,,Assam,274.34,274.34,90.6,100.0,0,0,1,1
618437,2026-04,,Assam,274.34,274.34,90.6,100.0,0,0,1,1
618437,2026-04,,Assam,274.34,274.34,90.6,100.0,0,0,1,1
618437,2026-05,,Assam,274.34,274.34,93.43,100.0,0,0,1,1
618437,2026-05,,Assam,274.34,274.34,93.43,100.0,0,0,1,1
618437,2026-06,,Assam,274.34,274.34,96.67,100.0,0,0,1,1
618437,2026-06,,Assam,274.34,274.34,96.67,100.0,0,0,1,1
618437,2026-07,,Assam,274.34,274.34,116.66,100.0,0,0,1,1
618438,2025-12,,Assam,385.57,385.57,0.0,0.0,0,0,0,0
618438,2026-01,,Assam,385.57,385.57,0.0,0.0,0,0,0,0
618438,2026-02,,Assam,385.57,385.57,0.0,0.0,0,0,0,0
618438,2026-03,,Assam,385.57,385.57,145.89,100.0,0,0,1,1
618438,2026-04,,Assam,385.57,385.57,145.89,100.0,0,0,1,1
618438,2026-05,,Assam,385.57,385.57,145.89,100.0,0,0,1,1
618438,2026-06,,Assam,385.57,385.57,685.73,100.0,0,0,1,1
618439,2026-01,,Assam,478.3,478.3,0.0,0.0,0,0,0,0
618439,2026-01,,Assam,478.3,478.3,0.0,0.0,0,0,0,0
618439,2026-02,,Assam,478.3,478.3,0.0,96.0,0,0,1,1
618439,2026-02,,Assam,478.3,478.3,0.0,96.0,0,0,1,1
618439,2026-03,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618439,2026-03,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618439,2026-04,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618439,2026-04,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618439,2026-05,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618439,2026-05,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618439,2026-06,,Assam,478.3,478.3,0.0,96.79,0,0,1,1
618440,2026-01,,Assam,187.09,100.22,0.0,0.0,0,0,1,1
618440,2026-01,,Assam,187.09,100.22,0.0,0.0,0,0,1,1
618440,2026-02,,Assam,187.09,100.22,0.0,0.0,0,0,1,1
618440,2026-02,,Assam,187.09,100.22,0.0,0.0,0,0,1,1
618440,2026-03,,Assam,187.09,100.22,0.0,0.0,0,0,1,0
618440,2026-03,,Assam,187.09,100.22,0.0,0.0,0,0,1,0
618440,2026-04,,Assam,187.09,100.22,0.0,0.0,0,0,1,0
618440,2026-04,,Assam,187.09,100.22,0.0,0.0,0,0,0,0
618440,2026-05,,Assam,187.09,100.22,0.0,0.0,0,0,0,0
618440,2026-05,,Assam,187.09,100.22,0.0,0.0,0,0,0,0
618440,2026-06,,Assam,187.09,100.22,0.0,58.19,0,0,1,1
618440,2026-06,,Assam,187.09,100.22,0.0,58.19,0,0,1,1
618440,2026-07,,Assam,187.09,100.22,16.71,58.19,0,0,1,1
618441,2025-12,,Assam,467.79,476.5,72.13,0.0,0,0,1,1
618441,2025-12,,Assam,467.79,476.5,72.13,0.0,0,0,1,1
618441,2026-01,,Assam,467.79,476.5,72.13,0.0,0,0,1,1
618441,2026-01,,Assam,467.79,476.5,72.13,0.0,0,0,1,1
618441,2026-02,,Assam,467.79,476.5,72.13,0.0,0,0,1,1
618441,2026-02,,Assam,467.79,476.5,72.13,0.0,0,0,1,1
618441,2026-03,,Assam,467.79,476.5,72.13,0.0,0,0,1,0
618441,2026-03,,Assam,467.79,476.5,72.13,0.0,0,0,1,0
618441,2026-04,,Assam,467.79,476.5,72.13,0.0,0,0,1,0
618441,2026-04,,Assam,467.79,476.5,72.13,0.0,0,0,0,0
618441,2026-05,,Assam,467.79,476.5,72.13,0.0,0,0,0,0
618441,2026-05,,Assam,467.79,476.5,72.13,0.0,0,0,0,0
618441,2026-06,,Assam,467.79,476.5,0.0,87.33,0,0,1,1
618441,2026-06,,Assam,467.79,476.5,0.0,87.33,0,0,1,1
618441,2026-07,,Assam,467.79,476.5,97.88,87.33,0,0,1,1
618442,2026-01,,Assam,358.72,358.72,0.0,98.0,0,0,1,1
618442,2026-02,,Assam,358.72,358.72,0.07,99.0,0,0,1,1
618442,2026-03,,Assam,358.72,358.72,0.07,99.05,0,0,1,1
618442,2026-04,,Assam,358.72,358.72,0.07,99.05,0,0,1,1
618442,2026-05,,Assam,358.72,358.72,0.07,99.05,0,0,1,1
618442,2026-06,,Assam,358.72,358.72,398.28,100.0,0,0,1,1
618443,2026-01,,Assam,438.44,438.44,0.0,95.0,0,0,1,1
618443,2026-02,,Assam,438.44,438.44,0.0,95.0,0,0,1,1
618443,2026-03,,Assam,438.44,438.44,0.0,95.86,0,0,1,1
618443,2026-04,,Assam,438.44,438.44,0.0,95.86,0,0,1,1
618443,2026-05,,Assam,438.44,438.44,0.0,95.86,0,0,1,1
618444,2026-01,,Assam,279.01,279.01,0.0,94.0,0,0,1,1
618444,2026-02,,Assam,279.01,279.01,0.0,94.0,0,0,1,1
618444,2026-03,,Assam,279.01,279.01,0.0,94.73,0,0,1,1
618444,2026-04,,Assam,279.01,279.01,0.0,94.73,0,0,1,1
618444,2026-05,,Assam,279.01,279.01,0.0,94.73,0,0,1,1
618454,2026-01,,Assam,693.97,693.97,0.0,0.0,0,0,0,0
618454,2026-02,,Assam,693.97,693.97,37.6,93.0,0,0,1,1
618454,2026-03,,Assam,693.97,693.97,37.6,93.23,0,0,1,1
618454,2026-04,,Assam,693.97,693.97,37.6,93.23,0,0,1,1
618454,2026-05,,Assam,693.97,693.97,37.6,93.23,0,0,1,1
618454,2026-06,,Assam,693.97,693.97,41.78,93.23,0,0,1,1
618455,2025-12,,Assam,693.97,693.97,0.0,0.0,0,0,0,0
618455,2026-01,,Assam,693.97,693.97,0.0,0.0,0,0,0,0
618455,2026-02,,Assam,693.97,693.97,296.92,100.0,0,0,1,1
618455,2026-03,,Assam,693.97,693.97,296.96,100.0,0,0,1,1
618455,2026-04,,Assam,693.97,693.97,296.96,100.0,0,0,1,1
618455,2026-05,,Assam,693.97,693.97,296.96,100.0,0,0,1,1
618455,2026-06,,Assam,693.97,693.97,310.1,100.0,0,0,1,1
618576,2025-12,,Assam,280.75,255.53,211.79,99.0,0,0,1,1
618576,2026-01,,Assam,280.75,255.53,211.79,99.0,0,0,1,1
618576,2026-02,,Assam,280.75,255.53,211.79,99.0,0,0,1,1
618576,2026-03,,Assam,280.75,255.53,211.79,99.04,0,0,1,1
618576,2026-04,,Assam,280.75,255.53,211.79,99.04,0,0,1,1
618934,2026-01,,Assam,5729.47,,,,0,0,,
618934,2026-02,,Assam,5729.47,5729.47,2.25,0.0,0,0,1,1
618934,2026-03,,Assam,5729.47,5729.47,2.25,0.0,0,0,1,1
618934,2026-04,,Assam,5729.47,5729.47,3.15,0.0,0,0,1,1
618934,2026-05,,Assam,5729.47,5729.47,3.49,0.0,0,0,1,1
618934,2026-06,,Assam,5729.47,5729.47,328.42,0.0,0,0,1,1
618958,2026-02,,Assam,1200.14,1200.14,0.0,52.0,0,0,1,1
618958,2026-03,,Assam,1200.14,1200.14,0.0,52.0,0,0,1,1
618958,2026-04,,Assam,1200.14,1200.14,0.0,52.0,0,0,1,1
618958,2026-05,,Assam,1200.14,1200.14,0.0,52.0,0,0,1,1
618958,2026-06,,Assam,1200.14,1200.14,0.0,52.0,0,0,1,1
619013,2026-01,,Assam,508.76,542.87,58.12,47.0,0,0,1,1
619013,2026-01,,Assam,508.76,542.87,58.12,47.0,0,0,1,1
619013,2026-02,,Assam,508.76,542.87,58.12,47.0,0,0,1,1
619013,2026-02,,Assam,508.76,542.87,58.12,47.0,0,0,1,1
619013,2026-03,,Assam,508.76,542.87,58.12,47.34,0,0,1,0
619013,2026-03,,Assam,508.76,542.87,58.12,47.34,0,0,1,0
619013,2026-04,,Assam,508.76,542.87,58.12,47.34,0,0,1,0
619013,2026-04,,Assam,508.76,542.87,58.12,47.34,0,0,0,0
619013,2026-05,,Assam,508.76,542.87,58.12,47.34,0,0,0,0
619013,2026-05,,Assam,508.76,542.87,58.12,47.34,0,0,0,0
619013,2026-06,,Assam,508.76,542.87,111.01,73.88,0,0,1,1
619013,2026-06,,Assam,508.76,542.87,111.01,73.88,0,0,1,1
619013,2026-07,,Assam,508.76,542.87,111.18,73.88,0,0,1,1
619057,2026-01,,Assam,574.26,574.26,277.82,63.0,0,0,0,1
619057,2026-02,,Assam,574.26,574.26,295.12,63.0,0,0,0,1
619057,2026-03,,Assam,574.26,574.26,316.32,71.09,0,0,1,1
619057,2026-04,,Assam,574.26,574.26,316.32,71.09,0,0,1,1
619057,2026-05,,Assam,574.26,574.26,316.52,71.09,0,0,1,1
619057,2026-06,,Assam,574.26,574.26,318.82,71.09,0,0,1,1
619060,2026-01,,Assam,344.71,619.7,46.37,62.0,0,0,1,1
619060,2026-01,,Assam,344.71,619.7,46.37,62.0,0,0,1,1
619060,2026-02,,Assam,344.71,619.7,46.37,62.0,0,0,1,1
619060,2026-02,,Assam,344.71,619.7,46.37,62.0,0,0,1,1
619060,2026-03,,Assam,344.71,619.7,46.37,62.9,0,0,1,1
619060,2026-03,,Assam,344.71,619.7,46.37,62.9,0,0,1,1
619060,2026-04,,Assam,344.71,619.7,46.37,62.9,0,0,1,1
619060,2026-04,,Assam,344.71,619.7,46.37,62.9,0,0,0,1
619060,2026-05,,Assam,344.71,619.7,46.37,62.9,0,0,0,1
619060,2026-05,,Assam,344.71,619.7,46.37,62.9,0,0,0,1
619060,2026-06,,Assam,344.71,619.7,54.48,72.0,0,0,1,1
619060,2026-06,,Assam,344.71,619.7,54.48,72.0,0,0,1,1
619060,2026-07,,Assam,344.71,619.7,56.58,72.0,0,0,1,1
619089,2026-01,,Assam,1909.98,2745.74,1170.02,89.0,0,0,1,1
619089,2026-02,,Assam,1909.98,2745.74,1170.13,89.0,0,0,1,1
