project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp,cost_overrun_ratio,cost_overrun_5pct,cost_overrun_10pct,cost_overrun_20pct,delay_months,delay_gt_3_months,delay_gt_6_months,delay_gt_12_months,future_3m_cost_revision,future_6m_cost_revision,future_3m_progress_stall,future_6m_progress_stall
618372,12,2025-12,"Widening / Improvement to 4-Lane with Paved Shoulder configuration of existing single lane road from Kachukhana Harichara Paglagaunj to Dhubri - Phulbari Bridge approach Package-II of Srirampur - Dhubri Section of NH-127B from existing Km 28.050 to Km 55.060 Design Km 27.650 to Km 54.154, Design Length26.504 Km under JICA ODA Loan assistance Phase-V [Srirampur - Dhubri Pkg-2]",NHIDCL,618372,,,Assam,03/2022,06/2025,,909.02,909.02,0.0,100.0,FlashReport_December_2025_page44_table1.csv,44,2026-08-28T21:13:48.887402,-1.0,0,0,0,0,0,0,0,0,0,1,1
618436,16,2026-01,4-Laning of Jamugurihat to end of Biswanath Chariali By-Pass from Km 182.000 to Km 208.000 of NH-52 on EPC mode in state of Assam under SARDP-NE,NHIDCL,618436,,,Assam,03/2015,06/2019,03/2025,599.0,599.0,404.62,100.0,FlashReport_January_2026_page52_table1.csv,52,2026-08-28T21:13:50.297576,-0.32450751252086807,0,0,0,69,1,1,1,0,0,1,1
618437,16,2025-12,"Construction of Balance Work of 4-Laning of NH-37 Section between End of Moran Bypass to Bogibeel junction near Lapetketa Km. 561.700-Km. 580.875 under SARDP-NE, Phase 'A' in the State of Assam on EPC mode Pkg-I Road works & Toll Plaza",NHIDCL,618437,,,Assam,01/2016,08/2025,,274.34,274.34,0.0,100.0,FlashReport_December_2025_page43_table1.csv,43,2026-08-28T21:13:48.883297,-1.0,0,0,0,0,0,0,0,0,0,1,1
618438,16,2026-03,"4-Laning of NH-37 Section between Demow to End of Moran Bypass From Km. 534.800 to Km. 561.700 including Emergency Landing Facility ELF under SARDP-NE, Phase 'A' in the State of Assam on EPC mode",NHIDCL,618438,,,Assam,01/2016,07/2024,08/2025,385.57,385.57,145.89,100.0,FlashReport_March_2026_page44_table1.csv,44,2026-08-28T21:13:52.361963,-0.6216251264361854,0,0,0,13,1,1,1,0,0,1,1
618442,14,2026-06,"Construction of Balance Work of the 4-Laning of the Section from Jorhat to Jhanji of NH-37 Old from Km 477.000 to Km 490800 13.800 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-III Road Works",NHIDCL -) (-,618442,,,Assam,01/2024,08/2024,06/2026,358.72,358.72,398.28,100.0,FlashReport_June_2026_page103_table0.csv,103,2026-08-28T21:13:51.381876,0.1102809991079392,1,1,0,22,1,1,1,0,0,1,1
618455,16,2026-02,Development of External Trunk Connectivity and Internal Infrastructure Works at Multi Model Logistics ParkMMLP at Jogighopa in the State of Assam on EPC Mode Package-I Road and Utility Works,NHIDCL N24002030,618455,,,Assam,02/2020,04/2022,10/2024,693.97,693.97,296.92,100.0,FlashReport_February_2026_page109_table1.csv,109,2026-08-28T21:13:49.271735,-0.572142888021096,0,0,0,30,1,1,1,0,0,1,1
618582,5,2026-02,4L of Galgalia - Bahadurganj section from Km 0.000 to Km 49.000 Package-I of NH327E,National Highways Authority of India [NHAI] -,618582,,,Bihar,01/2021,01/2024,,1282.97,1282.97,599.36,100.0,FlashReport_February_2026_page111_table1.csv,111,2026-08-28T21:13:49.286063,-0.5328339711762551,0,0,0,0,0,0,0,0,0,1,1
618583,5,2026-02,4L of Bahadurganj Araria section from Km 49.000 to Km 94.000 Package-II of NH- 327E,National Highways Authority of India [NHAI] -,618583,,,Bihar,01/2021,01/2024,05/2024,1358.77,1358.77,713.95,100.0,FlashReport_February_2026_page111_table1.csv,111,2026-08-28T21:13:49.286235,-0.474561551991875,0,0,0,4,1,0,0,0,0,1,1
618774,6,2025-12,Ara - Mohania Pkg-II,National Highways Authority of India [NHAI],618774,,,Bihar,08/2020,07/2023,11/2025,984.63,827.51,798.12,100.0,FlashReport_December_2025_page82_table1.csv,82,2026-08-28T21:13:49.127330,-0.18942140702598942,0,0,0,28,1,1,1,0,0,1,1
618839,6,2025-12,Aunta - Simaria including Ganga Bridge,National Highways Authority of India [NHAI],618839,,,Bihar,08/2018,02/2022,05/2025,1309.47,2107.68,796.99,100.0,FlashReport_December_2025_page82_table1.csv,82,2026-08-28T21:13:49.127479,-0.39136444515720104,0,0,0,39,1,1,1,0,0,1,1
