project_id,sanctioned_cost,final_cost,cost_overrun_ratio,cost_overrun_5pct,cost_overrun_10pct,cost_overrun_20pct,completion_reason,completion_date
PC-400010,480.0,512.55,0.06781249999999983,1,0,0,expenditure_ge_sanctioned,2026-07
PC-400019,492.76,560.32,0.1371052845198475,1,1,0,expenditure_ge_sanctioned,2026-06
PC-400065,1105.23,790.11,-0.28511712494231967,0,0,0,progress_100,2025-11
PC-400087,885.63,1062.32,0.19950769508711308,1,1,0,expenditure_ge_sanctioned,2026-07
PC-400100,353.05,879.15,1.4901572015295281,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400101,397.41,624.78,0.5721295387634935,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400102,736.13,971.47,0.31969896621520655,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400103,1331.3,4491.08,2.373454518140164,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400105,580.79,713.46,0.22843024156752034,1,1,1,expenditure_ge_sanctioned,2026-04
PC-400107,2407.67,2779.38,0.15438577545926147,1,1,0,expenditure_ge_sanctioned,2026-04
PC-400111,459.97,620.15,0.34824010261538785,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400112,7222.95,10516.63,0.45600204902429065,1,1,1,expenditure_ge_sanctioned,2026-04
PC-400115,751.03,814.02,0.08387148316312265,1,0,0,expenditure_ge_sanctioned,2026-07
PC-400116,1229.15,2270.96,0.8475857299759995,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400117,741.38,3218.3,3.340958752596509,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-08
PC-400141,4103.0,5023.49,0.22434560077991716,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400161,910.56,1073.0,0.17839571252855402,1,1,0,expenditure_ge_sanctioned,2026-01
PC-400168,8797.0,8861.88,0.007375241559622436,0,0,0,expenditure_ge_sanctioned,2026-07
PC-400223,713.0,1267.74,0.7780364656381487,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400253,4803.0,6260.17,0.3033874661669791,1,1,1,expenditure_ge_sanctioned,2026-06
PC-400259,17237.8,21237.52,0.2320319298286324,1,1,1,expenditure_ge_sanctioned,2026-04
PC-400261,18668.0,19735.72,0.05719520034283265,1,0,0,expenditure_ge_sanctioned,2026-07
PC-400273,1189.0,1607.64,0.3520941968040372,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400277,8964.0,8984.66,0.002304774654172226,0,0,0,expenditure_ge_sanctioned,2026-06
PC-400298,2312.0,2535.68,0.09674740484429067,1,0,0,expenditure_ge_sanctioned,2026-07
PC-400301,678.0,1206.36,0.77929203539823,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400369,836.42,917.1,0.09645871691255592,1,0,0,expenditure_ge_sanctioned,2026-07
PC-602096,6285.33,26448.07,3.20790475599531,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602098,424.93,484.52,0.14023486221259973,1,1,0,expenditure_ge_sanctioned,2026-07
PC-602184,1381.84,1690.73,0.22353528628495356,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602185,2978.0,7827.81,1.62854600402955,1,1,1,expenditure_ge_sanctioned,2026-07
