project_id,sanctioned_cost,final_cost,cost_overrun_ratio,cost_overrun_5pct,cost_overrun_10pct,cost_overrun_20pct,completion_reason,completion_date
PC-701388,1352.53,2689.7,0.9886435051348212,1,1,1,expenditure_ge_sanctioned,2025-07
PN-manipur-ministry o-,5111.33,5253.47,0.027808809057525252,0,0,0,expenditure_ge_sanctioned,2025-07
PC-705400,2650.0,4152.4,0.566943396226415,1,1,1,expenditure_ge_sanctioned,2025-07
PC-701392,973.62,1069.82,0.09880651588915579,1,0,0,expenditure_ge_sanctioned,2025-07
PC-701384,368.34,724.36,0.9665526415811481,1,1,1,expenditure_ge_sanctioned,2025-07
PC-701390,333.87,803.89,1.4077934525414082,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-07
PC-609041,287.2,310.0,0.0793871866295266,1,0,0,expenditure_ge_sanctioned,2025-08
PC-701371,691.15,978.51,0.4157708167546843,1,1,1,expenditure_ge_sanctioned,2025-08
PC-604792,1750.0,4710.0,1.6914285714285713,1,1,1,expenditure_ge_sanctioned,2025-08
PC-708655,366.8,376.86,0.02742639040348971,0,0,0,expenditure_ge_sanctioned,2025-08
PC-400117,741.38,3218.3,3.340958752596509,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-08
PN-durgawati_reservoir_project_70-bihar-irrigation_and_cad-t,691.15,978.51,0.4157708167546843,1,1,1,expenditure_ge_sanctioned,2025-09
"PN-ioe_projects_[civil_works],_ii-west benga-indian_institute_of_",287.2,310.0,0.0793871866295266,1,0,0,expenditure_ge_sanctioned,2025-09
PN-arjun_sahayak_project_400117-uttar prad-irrigation_&_water_r,741.38,3037.68,3.097332002481858,1,1,1,expenditure_ge_sanctioned,2025-09
PC-705863,950.0,507.02,-0.4662947368421053,0,0,0,progress_100,2025-09
PN-operationalization_of_coastal_-maharashtr-jawaharlal_nehru_por,366.8,376.86,0.02742639040348971,0,0,0,expenditure_ge_sanctioned,2025-09
PC-705566,351.0,499.64,0.4234757834757834,1,1,1,expenditure_ge_sanctioned,2025-09
"PN-assam_bio_refinery,_abrpl_6047-assam-ministry_of_petroleu",1750.0,4770.0,1.7257142857142855,1,1,1,expenditure_ge_sanctioned,2025-09
PN-domingarh-gorakhpur-gorakhpur_-uttar prad-north_eastern_railwa,351.0,499.64,0.4234757834757834,1,1,1,expenditure_ge_sanctioned,2025-10
PC-612688,211.13,198.95,-0.05768957514327666,0,0,0,progress_100,2025-10
