project_id,sanctioned_cost,final_cost,cost_overrun_ratio,cost_overrun_5pct,cost_overrun_10pct,cost_overrun_20pct,completion_reason,completion_date,sector,state,size_band,size_band_SMALL,size_band_MEDIUM,size_band_LARGE,size_band_XLARGE,size_band_UNKNOWN,log_sanctioned_cost,cost_revision_ratio,sector_Railways,sector_Transmission & Distribution,sector_Healthcare,sector_Shipping,sector_Roads & Highways,sector_Electricity Generation,sector_Oil & Gas,sector_Aviation & Aviation Infrastructure,sector_Water Resources,sector_PAN India,state_Gujarat,state_Uttar Pradesh,state_Maharashtra,state_Bihar,state_Tamil Nadu,state_Assam,state_Rajasthan,state_Andhra Pradesh,state_Odisha,state_Uttarakhand,completion_by_progress,completion_by_expenditure
PC-701388,1352.53,2689.7,0.9886435051348212,1,1,1,expenditure_ge_sanctioned,2025-07,,Maharashtra,XLARGE,0,0,0,1,0,7.210471273566756,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PN-manipur-ministry o-,5111.33,5253.47,0.0278088090575252,0,0,0,expenditure_ge_sanctioned,2025-07,,Ministry of Power,XLARGE,0,0,0,1,0,8.539410547964462,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705400,2650.0,4152.4,0.566943396226415,1,1,1,expenditure_ge_sanctioned,2025-07,,Bihar,XLARGE,0,0,0,1,0,7.8826922062890254,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-701392,973.62,1069.82,0.0988065158891557,1,0,0,expenditure_ge_sanctioned,2025-07,,Maharashtra,LARGE,0,0,1,0,0,6.882047651438331,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-701384,368.34,724.36,0.966552641581148,1,1,1,expenditure_ge_sanctioned,2025-07,,Maharashtra,MEDIUM,0,1,0,0,0,5.911717629017726,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-701390,333.87,803.89,1.4077934525414082,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-07,,Maharashtra,MEDIUM,0,1,0,0,0,5.813742396808923,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PC-609041,287.2,310.0,0.0793871866295266,1,0,0,expenditure_ge_sanctioned,2025-08,,West Bengal,MEDIUM,0,1,0,0,0,5.663654683565421,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-701371,691.15,978.51,0.4157708167546843,1,1,1,expenditure_ge_sanctioned,2025-08,,Bihar,LARGE,0,0,1,0,0,6.539802695133744,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-604792,1750.0,4710.0,1.6914285714285713,1,1,1,expenditure_ge_sanctioned,2025-08,Oil & Gas,Assam,XLARGE,0,0,0,1,0,7.467942332285852,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC-708655,366.8,376.86,0.0274263904034897,0,0,0,expenditure_ge_sanctioned,2025-08,Shipping,Maharashtra,MEDIUM,0,1,0,0,0,5.907539312170221,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-400117,741.38,3218.3,3.340958752596509,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-08,,Uttar Pradesh,LARGE,0,0,1,0,0,6.609861241453939,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
PN-durgawati_reservoir_project_70-bihar-irrigation_and_cad-t,691.15,978.51,0.4157708167546843,1,1,1,expenditure_ge_sanctioned,2025-09,Water Resources,Bihar,LARGE,0,0,1,0,0,6.539802695133744,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"PN-ioe_projects_[civil_works],_ii-west benga-indian_institute_of_",287.2,310.0,0.0793871866295266,1,0,0,expenditure_ge_sanctioned,2025-09,Education,West Bengal,MEDIUM,0,1,0,0,0,5.663654683565421,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-arjun_sahayak_project_400117-uttar prad-irrigation_&_water_r,741.38,3037.68,3.097332002481858,1,1,1,expenditure_ge_sanctioned,2025-09,Water Resources,Uttar Pradesh,LARGE,0,0,1,0,0,6.609861241453939,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-705863,950.0,507.02,-0.4662947368421053,0,0,0,progress_100,2025-09,,Uttar Pradesh,LARGE,0,0,1,0,0,6.85751406254539,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PN-operationalization_of_coastal_-maharashtr-jawaharlal_nehru_por,366.8,376.86,0.0274263904034897,0,0,0,expenditure_ge_sanctioned,2025-09,Shipping,Maharashtra,MEDIUM,0,1,0,0,0,5.907539312170221,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-705566,351.0,499.64,0.4234757834757834,1,1,1,expenditure_ge_sanctioned,2025-09,,Uttar Pradesh,MEDIUM,0,1,0,0,0,5.863631175598097,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"PN-assam_bio_refinery,_abrpl_6047-assam-ministry_of_petroleu",1750.0,4770.0,1.7257142857142855,1,1,1,expenditure_ge_sanctioned,2025-09,Oil & Gas,Assam,XLARGE,0,0,0,1,0,7.467942332285852,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PN-domingarh-gorakhpur-gorakhpur_-uttar prad-north_eastern_railwa,351.0,499.64,0.4234757834757834,1,1,1,expenditure_ge_sanctioned,2025-10,Railways,Uttar Pradesh,MEDIUM,0,1,0,0,0,5.863631175598097,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-612688,211.13,198.95,-0.0576895751432766,0,0,0,progress_100,2025-10,Healthcare,Telangana,MEDIUM,0,1,0,0,0,5.357199294284259,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-himmatnagar_khedbrahma_gauge_c-gujarat-western_railway_(wr),482.42,894.4,0.8539861531445627,1,1,1,expenditure_ge_sanctioned,2025-10,Railways,Gujarat,MEDIUM,0,1,0,0,0,6.18088584101716,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-702682,186.8,1664.41,7.910117773019271,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-10,Waste & Water,Assam,MEDIUM,0,1,0,0,0,5.235377566774162,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
PC-611737,385.84,382.4,-0.0089156126891976,0,0,0,progress_100,2025-10,,Chhattisgarh,MEDIUM,0,1,0,0,0,5.958011170848763,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-608302,318.12,317.12,-0.0031434678737582,0,0,0,progress_100,2025-10,,Jammu and Kashmir,MEDIUM,0,1,0,0,0,5.765567207597151,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-vijapur_ambliyasan_gauge_conve-gujarat-western_railway_(wr),415.38,701.04,0.6877076411960132,1,1,1,expenditure_ge_sanctioned,2025-10,Railways,Gujarat,MEDIUM,0,1,0,0,0,6.031598304847628,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-701091,3100.0,16024.42,4.169167741935484,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-10,Aviation & Aviation Infrastructure,Uttar Pradesh,XLARGE,0,0,0,1,0,8.03947991910045,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
PC-608922,1666.0,2129.28,0.2780792316926772,1,1,1,expenditure_ge_sanctioned,2025-10,,"Multi-States (Delhi, Haryana, Rajasthan)",XLARGE,0,0,0,1,0,7.418780882750794,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-transmission_system_for_evacua-jammu and -power_grid_corporati,318.12,318.12,0.0,0,0,0,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,Jammu and Kashmir,MEDIUM,0,1,0,0,0,5.765567207597151,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705694,187.72,141.91,-0.2440336671638611,0,0,0,progress_100,2025-11,,Delhi,MEDIUM,0,1,0,0,0,5.240264435099419,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-400065,1105.23,790.11,-0.2851171249423196,0,0,0,progress_100,2025-11,Steel,Odisha,XLARGE,0,0,0,1,0,7.0087131170626655,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PN-western_region_expansion_schem-chhattisga-power_grid_corporati,385.84,385.84,0.0,0,0,0,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,Chhattisgarh,MEDIUM,0,1,0,0,0,5.958011170848763,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-611937,417.53,502.23,0.2028596747539099,1,1,1,expenditure_ge_sanctioned,2025-11,,Gujarat,MEDIUM,0,1,0,0,0,6.036748571948126,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-612063,219.18,215.51,-0.0167442284880008,0,0,0,progress_100,2025-11,Aviation & Aviation Infrastructure,Uttar Pradesh,MEDIUM,0,1,0,0,0,5.394445393642257,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PC-612239,131.05,162.05,0.2365509347577259,1,1,1,expenditure_ge_sanctioned,2025-11,Healthcare,Jammu and Kashmir,MEDIUM,0,1,0,0,0,4.883180638743141,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705779,1178.0,1489.5,0.2644312393887946,1,1,1,expenditure_ge_sanctioned,2025-11,,Uttar Pradesh,XLARGE,0,0,0,1,0,7.072421900537371,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-705784,357.0,579.0,0.6218487394957983,1,1,1,expenditure_ge_sanctioned,2025-11,,Uttar Pradesh,MEDIUM,0,1,0,0,0,5.8805329864007,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
