project_id,original_completion_date,revised_completion_date,delay_months,delay_gt_3_months,delay_gt_6_months,delay_gt_12_months,completion_reason,completion_date
PC-400010,09/2021,07/2026,58,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400019,12/2026,09/2027,9,1,1,0,expenditure_ge_sanctioned,2026-06
PC-400065,05/2025,09/2025,4,1,0,0,progress_100,2025-11
PC-400087,03/2027,03/2027,0,0,0,0,expenditure_ge_sanctioned,2026-07
PC-400100,12/2019,06/2026,78,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400101,12/2019,03/2027,87,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400102,12/2019,12/2025,72,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400103,12/2019,12/2026,84,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400105,06/2022,12/2026,54,1,1,1,expenditure_ge_sanctioned,2026-04
PC-400107,06/2023,06/2027,48,1,1,1,expenditure_ge_sanctioned,2026-04
PC-400111,12/2019,06/2026,78,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400115,12/2019,03/2026,75,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400116,12/2019,12/2026,84,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400117,12/2019,12/2019,0,0,0,0,"progress_100, expenditure_ge_sanctioned",2025-08
PC-400141,12/2022,06/2026,42,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400161,01/2024,02/2026,25,1,1,1,expenditure_ge_sanctioned,2026-01
PC-400168,04/2025,06/2027,26,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400223,03/2025,03/2028,36,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400253,12/2025,12/2026,12,1,1,0,expenditure_ge_sanctioned,2026-06
PC-400259,11/2020,03/2026,64,1,1,1,expenditure_ge_sanctioned,2026-04
PC-400261,03/2023,04/2027,49,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400273,03/2019,02/2026,83,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400277,12/2025,12/2027,24,1,1,1,expenditure_ge_sanctioned,2026-06
PC-400298,05/2027,03/2028,10,1,1,0,expenditure_ge_sanctioned,2026-07
PC-400301,02/2017,09/2026,115,1,1,1,expenditure_ge_sanctioned,2026-07
PC-400369,03/2024,03/2027,36,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602096,09/2010,03/2027,198,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602098,06/2023,11/2025,29,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602184,09/2019,09/2029,120,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602185,03/2013,07/2029,196,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602193,06/2022,03/2026,45,1,1,1,expenditure_ge_sanctioned,2026-02
PC-602194,02/2024,09/2025,19,1,1,1,"progress_100, expenditure_ge_sanctioned",2025-11
PC-602195,12/2022,06/2028,66,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602223,12/2018,03/2027,99,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602525,04/2020,12/2026,80,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602538,01/2024,09/2026,32,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602579,01/2024,05/2026,28,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602582,11/2025,03/2027,16,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602593,01/2026,05/2030,52,1,1,1,expenditure_ge_sanctioned,2026-07
PC-602792,02/2025,06/2026,16,1,1,1,progress_100,2026-07
PC-603945,12/2019,06/2026,78,1,1,1,expenditure_ge_sanctioned,2026-07
PC-604791,07/2024,03/2027,32,1,1,1,expenditure_ge_sanctioned,2026-07
PC-604792,09/2021,09/2025,48,1,1,1,expenditure_ge_sanctioned,2025-08
PC-605156,05/2024,11/2026,30,1,1,1,expenditure_ge_sanctioned,2026-07
PC-606112,11/2023,12/2025,25,1,1,1,expenditure_ge_sanctioned,2026-07
PC-607701,10/2023,05/2026,31,1,1,1,expenditure_ge_sanctioned,2026-04
PC-607709,12/2018,03/2027,99,1,1,1,expenditure_ge_sanctioned,2026-07
PC-608302,04/2025,11/2025,7,1,1,0,progress_100,2025-10
PC-608922,11/2023,11/2025,24,1,1,1,expenditure_ge_sanctioned,2025-10
PC-609041,03/2023,12/2026,45,1,1,1,expenditure_ge_sanctioned,2025-08
PC-611142,07/2023,04/2024,9,1,1,0,"progress_100, expenditure_ge_sanctioned",2026-03
PC-611737,11/2023,10/2025,23,1,1,1,progress_100,2025-10
PC-611917,03/2025,12/2026,21,1,1,1,expenditure_ge_sanctioned,2026-07
PC-611937,05/2026,12/2025,-5,0,0,0,expenditure_ge_sanctioned,2025-11
PC-611966,07/2025,05/2026,10,1,1,0,"progress_100, expenditure_ge_sanctioned",2026-06
PC-612063,11/2024,10/2025,11,1,1,0,progress_100,2025-11
PC-612178,06/2025,03/2026,9,1,1,0,progress_100,2026-03
