project_id,original_completion_date,revised_completion_date,delay_months,delay_gt_3_months,delay_gt_6_months,delay_gt_12_months,completion_reason,completion_date,sector,state,size_band,log_sanctioned_cost,size_band_SMALL,size_band_MEDIUM,size_band_LARGE,size_band_XLARGE,size_band_UNKNOWN,sector_Railways,sector_Water Resources,sector_Transmission & Distribution,sector_Electricity Generation,sector_Roads & Highways,sector_Healthcare,sector_Urban Public Transport,sector_Waste & Water,sector_Oil & Gas,sector_Education,state_Gujarat,state_Maharashtra,state_Uttar Pradesh,state_Bihar,state_Andhra Pradesh,state_Karnataka,state_Assam,state_Odisha,state_Chhattisgarh,state_Madhya Pradesh,completion_by_progress,completion_by_expenditure
PC-617949,03/2026,03/2026,0,0,0,0,progress_100,2026-06,Roads & Highways,Andhra Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
PC-604791,07/2024,03/2027,32,1,1,1,expenditure_ge_sanctioned,2026-07,Oil & Gas,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
PC-701568,02/2023,07/2024,17,1,1,1,expenditure_ge_sanctioned,2026-02,Shipping,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-619165,02/2023,12/2026,46,1,1,1,progress_100,2026-07,,Telangana,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-616615,04/2025,12/2026,20,1,1,1,expenditure_ge_sanctioned,2026-07,Waste & Water,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-618489,07/2024,03/2027,32,1,1,1,expenditure_ge_sanctioned,2026-07,,Punjab,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-604792,09/2021,09/2025,48,1,1,1,expenditure_ge_sanctioned,2025-08,Oil & Gas,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
PC-618285,10/2025,01/2026,3,0,0,0,progress_100,2026-05,,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
PC-618553,02/2025,07/2026,17,1,1,1,progress_100,2026-05,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PC-618463,10/2021,08/2026,58,1,1,1,expenditure_ge_sanctioned,2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PN-guwahati_refinery_expansion_[1-assam-ministry_of_petroleu,05/2026,10/2023,-31,0,0,0,expenditure_ge_sanctioned,2026-05,Oil & Gas,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"PN-ioe_projects_[civil_works],_ii-west benga-indian_institute_of_",08/2025,03/2023,-29,0,0,0,expenditure_ge_sanctioned,2025-09,Education,West Bengal,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PC-705793,03/2024,03/2026,24,1,1,1,expenditure_ge_sanctioned,2026-07,,"Multi-States (Delhi, Gujarat, Madhya Pradesh, Maharashtra, Rajasthan)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618406,07/2021,11/2026,64,1,1,1,expenditure_ge_sanctioned,2026-07,,Jammu and Kashmir,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-619084,04/2009,10/2026,210,1,1,1,progress_100,2026-05,,Tamil Nadu,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
